,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 26-Jan 1, 1998",,228514632,+42.5%,265831839,+55.2%,27,Titanic,52,1997-12-26
1,Dec 19-25,,160380798,+86.8%,171316431,+98%,23,Titanic,51,1997-12-19
2,Dec 12-18,,85846796,+70.1%,86508869,+71.1%,16,Scream 2,50,1997-12-12
3,Dec 5-11,,50473740,-53.4%,50562083,-54.9%,11,Flubber,49,1997-12-05
4,Nov 28-Dec 4,,108355864,-7.5%,112219506,-17.2%,15,Flubber,48,1997-11-28
5,Nov 21-27,,117108245,+52.3%,135491092,+72.7%,21,Mortal Kombat: Annihilation,47,1997-11-21
6,Nov 14-20,,76886365,-15.4%,78456319,-19%,13,The Jackal,46,1997-11-14
7,Nov 7-13,,90928256,+51.5%,96800834,+46.1%,16,Starship Troopers,45,1997-11-07
8,Oct 31-Nov 6,,60024782,-4.8%,66249177,-12%,16,I Know What You Did Last Summer,44,1997-10-31
9,Oct 24-30,,63033432,-16.9%,75268260,-11.5%,17,I Know What You Did Last Summer,43,1997-10-24
10,Oct 17-23,,75875923,+6.4%,85069853,+8.9%,20,I Know What You Did Last Summer,42,1997-10-17
11,Oct 10-16,,71318112,-0.5%,78109217,+5.6%,20,Kiss the Girls,41,1997-10-10
12,Oct 3-9,,71674841,-7.5%,73991004,-5.4%,21,Kiss the Girls,40,1997-10-03
13,Sep 26-Oct 2,,77473881,+21.9%,78197985,+21.6%,16,The Peacemaker,39,1997-09-26
14,Sep 19-25,,63542301,+25.9%,64291704,+24.8%,17,In & Out,38,1997-09-19
15,Sep 12-18,,50455664,+2.6%,51504915,-1.3%,18,The Game,37,1997-09-12
16,Sep 5-11,,49157947,-38.2%,52181670,-45.6%,16,Fire Down Below,36,1997-09-05
17,Aug 29-Sep 4,,79556358,-12.6%,95917877,-6.3%,19,G.I. Jane,35,1997-08-29
18,Aug 22-28,,91043083,-12.4%,102345899,-6.9%,20,G.I. Jane,34,1997-08-22
19,Aug 15-21,,103917869,-10.8%,109916974,-15.1%,17,Cop Land,33,1997-08-15
20,Aug 8-14,,116548010,-16.4%,129463103,-14.8%,21,Conspiracy Theory,32,1997-08-08
21,Aug 1-7,,139343212,-7.3%,151966408,-2.3%,19,Air Force One,31,1997-08-01
22,Jul 25-31,,150309340,+3.5%,155591906,+3.6%,17,Air Force One,30,1997-07-25
23,Jul 18-24,,145163322,-1.2%,150175165,-1.2%,15,Men in Black,29,1997-07-18
24,Jul 11-17,,146971496,-15.4%,152037665,-13.4%,16,Men in Black,28,1997-07-11
25,Jul 4-10,,173677069,-1.6%,175558944,-1.9%,14,Men in Black,27,1997-07-04
26,Jun 27-Jul 3,,176457677,+26.5%,178986563,+28.3%,15,Hercules,26,1997-06-27
27,Jun 20-26,,139464769,+67.2%,139556866,+66.8%,14,Batman & Robin,25,1997-06-20
28,Jun 13-19,,83411732,-6%,83677238,-6.1%,12,Speed 2: Cruise Control,24,1997-06-13
29,Jun 6-12,,88692910,+1.7%,89099952,+1.6%,14,Con Air,23,1997-06-06
30,May 30-Jun 5,,87217223,-44%,87711698,-43.7%,13,The Lost World: Jurassic Park,22,1997-05-30
31,May 23-29,,155744389,+157.9%,155891216,+132.8%,12,The Lost World: Jurassic Park,21,1997-05-23
32,May 16-22,,60382453,-18.3%,66957083,-10.1%,16,The Fifth Element,20,1997-05-16
33,May 9-15,,73943962,+1.6%,74510444,+0.7%,14,The Fifth Element,19,1997-05-09
34,May 2-8,,72753475,+9.9%,73985157,+11.2%,17,Breakdown,18,1997-05-02
35,Apr 25-May 1,,66195407,-1.8%,66555155,-2.8%,18,Volcano,17,1997-04-25
36,Apr 18-24,,67396913,-14.9%,68448030,-13.9%,15,Anaconda,16,1997-04-18
37,Apr 11-17,,79220853,-5.3%,79516569,-12.1%,12,Anaconda,15,1997-04-11
38,Apr 4-10,,83692426,-16.1%,90436088,-12.1%,18,Liar Liar,14,1997-04-04
39,Mar 28-Apr 3,,99697649,-4.9%,102869254,-15.8%,13,Liar Liar,13,1997-03-28
40,Mar 21-27,,104825899,+38.1%,122214734,+29.2%,25,Liar Liar,12,1997-03-21
41,Mar 14-20,,75886610,-7.1%,94564932,-8.4%,23,Star Wars: Episode VI - Return of the Jedi1997 Special Edition,11,1997-03-14
42,Mar 7-13,,81679295,+1.5%,103240764,+2.9%,25,Private Parts,10,1997-03-07
43,Feb 28-Mar 6,,80471529,-12.1%,100348923,-7.3%,25,Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,9,1997-02-28
44,Feb 21-27,,91566646,-21.2%,108258595,-21.1%,25,Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,8,1997-02-21
45,Feb 14-20,,116143896,+40.1%,137179412,+43.2%,25,Star Wars: Episode IV - A New Hope1997 Special Edition,7,1997-02-14
46,Feb 7-13,,82892317,-6.8%,95768795,-14%,20,Star Wars: Episode IV - A New Hope1997 Special Edition,6,1997-02-07
47,Jan 31-Feb 6,,88947248,+52.9%,111297358,+41.8%,24,Star Wars: Episode IV - A New Hope1997 Special Edition,5,1997-01-31
48,Jan 24-30,,58187148,-31.3%,78461699,-25.8%,22,Evita,4,1997-01-24
49,Jan 17-23,,84755207,+5.1%,105794239,+9.6%,19,Beverly Hills Ninja,3,1997-01-17
50,Jan 10-16,,80607942,-8.5%,96518871,-7.4%,17,The Relic,2,1997-01-10
51,Jan 3-9,,88102962,-46%,104261473,-47.8%,19,Jerry Maguire,1,1997-01-03
