,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 28-Jan 3, 2019",,301431710,-17.6%,343404540,-17.2%,92,Aquaman,52,2018-12-28
1,Dec 21-27,,365938858,+147.3%,414509628,+126.7%,89,Aquaman,51,2018-12-21
2,Dec 14-20,,148001860,+49.7%,182879464,+54.9%,114,Spider-Man: Into the Spider-Verse,50,2018-12-14
3,Dec 7-13,,98855806,-28.9%,118024971,-25.9%,122,Ralph Breaks the Internet,49,2018-12-07
4,Nov 30-Dec 6,,139119897,-44.1%,159339998,-40.2%,118,Ralph Breaks the Internet,48,2018-11-30
5,Nov 23-29,,248898805,-12.2%,266372185,-15.7%,108,Ralph Breaks the Internet,47,2018-11-23
6,Nov 16-22,,283597723,+38.6%,315936017,+38.3%,117,Fantastic Beasts: The Crimes of Grindelwald,46,2018-11-16
7,Nov 9-15,,204609233,+19.1%,228436850,+16.8%,133,The Grinch,45,2018-11-09
8,Nov 2-8,,171792181,+36.8%,195592903,+32.1%,135,Bohemian Rhapsody,44,2018-11-02
9,Oct 26-Nov 1,,125604075,-37.7%,148052491,-31.7%,138,Halloween,43,2018-10-26
10,Oct 19-25,,201740323,+20%,216850956,+17.8%,129,Halloween,42,2018-10-19
11,Oct 12-18,,168167013,-29.4%,184035791,-27.4%,138,Venom,41,2018-10-12
12,Oct 5-11,,238268742,+102.1%,253603575,+81.1%,141,Venom,40,2018-10-05
13,Sep 28-Oct 4,,117890375,+15.2%,140037237,+11.9%,143,Night School,39,2018-09-28
14,Sep 21-27,,102360596,-19%,125093394,-15.5%,137,The House with a Clock in Its Walls,38,2018-09-21
15,Sep 14-20,,126406042,-9%,148009449,-8.2%,138,The Predator,37,2018-09-14
16,Sep 7-13,,138857002,+23%,161262773,+6.1%,131,The Nun,36,2018-09-07
17,Aug 31-Sep 6,,112931144,-6.1%,151983826,+1.2%,122,Crazy Rich Asians,35,2018-08-31
18,Aug 24-30,,120290722,-26.8%,150198552,-23%,122,Crazy Rich Asians,34,2018-08-24
19,Aug 17-23,,164325498,-12.3%,195015319,-13.9%,122,Crazy Rich Asians,33,2018-08-17
20,Aug 10-16,,187279615,+1%,226431042,+3.5%,114,The Meg,32,2018-08-10
21,Aug 3-9,,185502196,-17.3%,218707977,-11.6%,121,Mission: Impossible - Fallout,31,2018-08-03
22,Jul 27-Aug 2,,224339388,-8.4%,247412373,-8.6%,125,Mission: Impossible - Fallout,30,2018-07-27
23,Jul 20-26,,244919938,+4.2%,270678091,+4.4%,124,Mamma Mia! Here We Go Again,29,2018-07-20
24,Jul 13-19,,235108274,-9.1%,259320155,-7%,112,Hotel Transylvania 3: Summer Vacation,28,2018-07-13
25,Jul 6-12,,258637337,-9.8%,278938550,-10.9%,118,Ant-Man and the Wasp,27,2018-07-06
26,Jun 29-Jul 5,,286719888,-27.1%,312933120,-23.3%,124,Jurassic World: Fallen Kingdom,26,2018-06-29
27,Jun 22-28,,393429705,+2.4%,407998267,+1.1%,120,Jurassic World: Fallen Kingdom,25,2018-06-22
28,Jun 15-21,,384190451,+137.7%,403621055,+122.8%,127,Incredibles 2,24,2018-06-15
29,Jun 8-14,,161608590,+13.7%,181174157,+14.6%,132,Ocean's Eight,23,2018-06-08
30,Jun 1-7,,142124184,-46.2%,158144979,-42.8%,121,Solo: A Star Wars Story,22,2018-06-01
31,May 25-31,,264374930,-1.8%,276358973,-2.5%,135,Solo: A Star Wars Story,21,2018-05-25
32,May 18-24,,269319118,+63.2%,283469570,+55.1%,132,Deadpool 2,20,2018-05-18
33,May 11-17,,165026530,-20.8%,182746452,-18.6%,145,Avengers: Infinity War,19,2018-05-11
34,May 4-10,,208377426,-47.9%,224420461,-46.1%,132,Avengers: Infinity War,18,2018-05-04
35,Apr 27-May 3,,399667945,+190.7%,416289826,+154.3%,137,Avengers: Infinity War,17,2018-04-27
36,Apr 20-26,,137499327,-20%,163678579,-17.4%,141,A Quiet Place,16,2018-04-20
37,Apr 13-19,,171931933,-6.9%,198042210,-8.3%,143,Rampage,15,2018-04-13
38,Apr 6-12,,184706683,+8%,215968070,+5.1%,131,A Quiet Place,14,2018-04-06
39,Mar 30-Apr 5,,171018108,+5.4%,205442044,+2.1%,121,Ready Player One,13,2018-03-30
40,Mar 23-29,,162297990,+0.3%,201170963,+9.9%,121,Pacific Rim: Uprising,12,2018-03-23
41,Mar 16-22,,161814321,-6.3%,183023473,-7.2%,126,Black Panther,11,2018-03-16
42,Mar 9-15,,172712657,-2.7%,197178640,-0.7%,121,Black Panther,10,2018-03-09
43,Mar 2-8,,177489850,-22.4%,198506984,-22.4%,122,Black Panther,9,2018-03-02
44,Feb 23-Mar 1,,228624483,-41.3%,255715632,-39.1%,118,Black Panther,8,2018-02-23
45,Feb 16-22,,389216230,+141%,419745271,+108.4%,116,Black Panther,7,2018-02-16
46,Feb 9-15,,161482194,+81.3%,201409377,+55.2%,115,Fifty Shades Freed,6,2018-02-09
47,Feb 2-8,,89083583,-32.7%,129767460,-30.8%,110,Jumanji: Welcome to the Jungle,5,2018-02-02
48,Jan 26-Feb 1,,132347194,-3.8%,187471873,+1.9%,105,Maze Runner: The Death Cure,4,2018-01-26
49,Jan 19-25,,137579638,-26.6%,184047126,-21.4%,107,Jumanji: Welcome to the Jungle,3,2018-01-19
50,Jan 12-18,,187542971,-0.5%,234295238,+6%,107,Jumanji: Welcome to the Jungle,2,2018-01-12
51,Jan 5-11,,188503584,-37.3%,221132888,-34.7%,95,Jumanji: Welcome to the Jungle,1,2018-01-05
