,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 31-Jan 6, 1983",,63374207,-22.6%,68287950,-24.1%,13,Tootsie,53,1982-12-31
1,Dec 24-30,,81916078,+47.9%,89953820,+51%,14,Tootsie,52,1982-12-24
2,Dec 17-23,,55404621,+81.6%,59568384,+87.8%,13,Tootsie,51,1982-12-17
3,Dec 10-16,,30506703,+86.9%,31717766,+84.9%,14,The Toy,50,1982-12-10
4,Dec 3-9,,16325156,-43.8%,17156522,-43.8%,12,First Blood,49,1982-12-03
5,Nov 26-Dec 2,,29043097,-13.8%,30504207,-15.5%,12,E.T. the Extra-Terrestrial,48,1982-11-26
6,Nov 19-25,,33684151,+15.3%,36111001,+21.1%,14,Star Wars: Episode V - The Empire Strikes Back1982 Re-release,47,1982-11-19
7,Nov 12-18,,29204474,+8.7%,29819349,+7.2%,13,Creepshow,46,1982-11-12
8,Nov 5-11,,26872457,-8.8%,27828149,-6.7%,12,First Blood,45,1982-11-05
9,Oct 29-Nov 4,,29469667,-17%,29811695,-18.4%,11,First Blood,44,1982-10-29
10,Oct 22-28,,35487074,+117.3%,36520493,+123.6%,13,First Blood,43,1982-10-22
11,Oct 15-21,,16334214,-23.3%,16334214,-24.9%,10,E.T. the Extra-Terrestrial,42,1982-10-15
12,Oct 8-14,,21302481,-5%,21759308,-6.9%,11,An Officer and a Gentleman,41,1982-10-08
13,Oct 1-7,,22417089,-18.1%,23374907,-19.4%,12,E.T. the Extra-Terrestrial,40,1982-10-01
14,Sep 24-30,,27379825,<0.1%,29010891,<0.1%,12,E.T. the Extra-Terrestrial,39,1982-09-24
15,Sep 17-23,,27360620,+3%,29023272,+1.9%,12,E.T. the Extra-Terrestrial,38,1982-09-17
16,Sep 10-16,,26574044,-44.3%,28484622,-51.8%,12,An Officer and a Gentleman,37,1982-09-10
17,Sep 3-9,,47703893,+18.1%,59038098,+17%,19,Zapped!,36,1982-09-03
18,Aug 27-Sep 2,,40395842,-26.4%,50446944,-17.9%,16,E.T. the Extra-Terrestrial,35,1982-08-27
19,Aug 20-26,,54901977,-18.8%,61442775,-18.2%,13,E.T. the Extra-Terrestrial,34,1982-08-20
20,Aug 13-19,,67573935,+8.6%,75145362,+2.3%,14,E.T. the Extra-Terrestrial,33,1982-08-13
21,Aug 6-12,,62250120,-3%,73459792,-4%,16,E.T. the Extra-Terrestrial,32,1982-08-06
22,Jul 30-Aug 5,,64190485,-11.1%,76559273,-9.6%,16,E.T. the Extra-Terrestrial,31,1982-07-30
23,Jul 23-29,,72220191,+6.7%,84693948,+12.2%,17,E.T. the Extra-Terrestrial,30,1982-07-23
24,Jul 16-22,,67702503,+1.7%,75506159,+7.6%,14,E.T. the Extra-Terrestrial,29,1982-07-16
25,Jul 9-15,,66541551,-10.5%,70168562,-14.5%,12,E.T. the Extra-Terrestrial,28,1982-07-09
26,Jul 2-8,,74337333,-11.9%,82115934,-9.5%,15,E.T. the Extra-Terrestrial,27,1982-07-02
27,Jun 25-Jul 1,,84412820,+10.5%,90722719,+16.8%,14,E.T. the Extra-Terrestrial,26,1982-06-25
28,Jun 18-24,,76365730,-1.1%,77648945,-3.8%,11,E.T. the Extra-Terrestrial,25,1982-06-18
29,Jun 11-17,,77209233,+12%,80732936,+11%,13,E.T. the Extra-Terrestrial,24,1982-06-11
30,Jun 4-10,,68924494,+18.2%,72762262,+18.3%,15,Star Trek II: The Wrath of Khan,23,1982-06-04
31,May 28-Jun 3,,58309131,+76.6%,61505358,+69%,14,Rocky III,22,1982-05-28
32,May 21-27,,33020766,+7.5%,36391758,+14%,15,Conan the Barbarian,21,1982-05-21
33,May 14-20,,30720246,+40.2%,31916213,+41.8%,12,Conan the Barbarian,20,1982-05-14
34,May 7-13,,21905108,-12.5%,22506031,-13.8%,11,Porky's,19,1982-05-07
35,Apr 30-May 6,,25035909,-5%,26110874,-4.6%,12,Porky's,18,1982-04-30
36,Apr 23-29,,26357668,-12.6%,27355591,-11.1%,12,Porky's,17,1982-04-23
37,Apr 16-22,,30165989,-30.4%,30760214,-32.4%,11,Porky's,16,1982-04-16
38,Apr 9-15,,43354822,-11.9%,45496517,-15%,12,Porky's,15,1982-04-09
39,Apr 2-8,,49229520,+27.8%,53497751,+38.2%,13,Porky's,14,1982-04-02
40,Mar 26-Apr 1,,38511378,+7.7%,38708298,+5.9%,11,Porky's,13,1982-03-26
41,Mar 19-25,,35755951,+16.5%,36547791,+14.1%,12,Porky's,12,1982-03-19
42,Mar 12-18,,30688208,+42.4%,32031243,+48.7%,12,Richard Pryor: Live on the Sunset Strip,11,1982-03-12
43,Mar 5-11,,21547520,+9.5%,21547520,+9.5%,9,On Golden Pond,10,1982-03-05
44,Feb 26-Mar 4,,19676325,-16.2%,19676325,-20.3%,8,On Golden Pond,9,1982-02-26
45,Feb 19-25,,23482875,-23%,24692691,-20.3%,12,On Golden Pond,8,1982-02-19
46,Feb 12-18,,30492183,+38.1%,30982004,+35.1%,12,On Golden Pond,7,1982-02-12
47,Feb 5-11,,22086481,-10.2%,22939690,-15.2%,12,On Golden Pond,6,1982-02-05
48,Jan 29-Feb 4,,24605561,-14%,27063001,-18.5%,14,On Golden Pond,5,1982-01-29
49,Jan 22-28,,28617027,+15.1%,33196800,+17.8%,16,Whose Life Is It Anyway?,4,1982-01-22
50,Jan 15-21,,24860007,-71.4%,28180854,-68.7%,16,Absence of Malice,3,1982-01-15
51,Jan 8-14,,86842060,"+61,369.4%",90095538,"+63,672.3%",14,Time Bandits,2,1982-01-08
52,Jan 1-7,,141277,-98%,141277,-98%,1,On Golden Pond,1,1982-01-01
