,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 31-Jan 6, 2005",,149949957,-40.2%,193280990,-37.2%,99,Meet the Fockers,53,2004-12-31
1,Dec 24-30,,250601052,+42.8%,307703200,+50.8%,101,Meet the Fockers,52,2004-12-24
2,Dec 17-23,,175539557,+36.1%,204070862,+44.4%,106,A Series of Unfortunate Events,51,2004-12-17
3,Dec 10-16,,128965350,+27.9%,141349324,+19.2%,119,Ocean's Twelve,50,2004-12-10
4,Dec 3-9,,100820917,-40.9%,118568064,-37.8%,114,National Treasure,49,2004-12-03
5,Nov 26-Dec 2,,170492639,-18.7%,190490670,-19.3%,114,National Treasure,48,2004-11-26
6,Nov 19-25,,209636892,+32.5%,236003513,+34.2%,118,National Treasure,47,2004-11-19
7,Nov 12-18,,158196321,-11.8%,175922676,-11.7%,125,The Incredibles,46,2004-11-12
8,Nov 5-11,,179363705,+53.3%,199126382,+49.6%,127,The Incredibles,45,2004-11-05
9,Oct 29-Nov 4,,117036220,-2.2%,133140723,-0.8%,138,The Grudge,44,2004-10-29
10,Oct 22-28,,119661264,+11.4%,134235918,+9.3%,145,The Grudge,43,2004-10-22
11,Oct 15-21,,107377130,-11.9%,122836427,-10.6%,149,Shark Tale,42,2004-10-15
12,Oct 8-14,,121933539,+1%,137457770,-2.8%,148,Shark Tale,41,2004-10-08
13,Oct 1-7,,120749298,+70.9%,141381641,+54.1%,140,Shark Tale,40,2004-10-01
14,Sep 24-30,,70642570,-4.4%,91774776,-6.7%,150,The Forgotten,39,2004-09-24
15,Sep 17-23,,73879505,-0.7%,98316332,-4.6%,137,Sky Captain and the World of Tomorrow,38,2004-09-17
16,Sep 10-16,,74430133,-0.5%,103105986,-10.6%,123,Resident Evil: Apocalypse,37,2004-09-10
17,Sep 3-9,,74837562,-28.5%,115372914,-18.9%,126,Without a Paddle,36,2004-09-03
18,Aug 27-Sep 2,,104635879,-21.3%,142341283,-14.5%,128,Hero,35,2004-08-27
19,Aug 20-26,,133010606,-21.3%,166479959,-16.1%,122,Exorcist: The Beginning,34,2004-08-20
20,Aug 13-19,,169104557,+14.2%,198312585,+7.6%,122,Alien vs. Predator,33,2004-08-13
21,Aug 6-12,,148013258,-25.7%,184247609,-20.8%,123,Collateral,32,2004-08-06
22,Jul 30-Aug 5,,199151078,+4%,232733356,+7%,116,The Village,31,2004-07-30
23,Jul 23-29,,191487933,-4.8%,217408468,-6.4%,118,The Bourne Supremacy,30,2004-07-23
24,Jul 16-22,,201100683,-0.5%,232301328,+0.6%,116,"I, Robot",29,2004-07-16
25,Jul 9-15,,202206877,-16.2%,230965174,-13.3%,114,Spider-Man 2,28,2004-07-09
26,Jul 2-8,,241374271,+10%,266416517,+4.3%,112,Spider-Man 2,27,2004-07-02
27,Jun 25-Jul 1,,219488972,+9.2%,255363039,+16.2%,117,Spider-Man 2,26,2004-06-25
28,Jun 18-24,,201083595,-7.4%,219799863,-5.2%,130,Dodgeball: A True Underdog Story,25,2004-06-18
29,Jun 11-17,,217145549,-12.6%,231973047,-10.1%,130,Harry Potter and the Prisoner of Azkaban,24,2004-06-11
30,Jun 4-10,,248351087,-11.2%,257969082,-11.7%,138,Harry Potter and the Prisoner of Azkaban,23,2004-06-04
31,May 28-Jun 3,,279550153,+28.7%,292023485,+26.4%,147,Shrek 2,22,2004-05-28
32,May 21-27,,217254127,+46.2%,231000848,+38.9%,156,Shrek 2,21,2004-05-21
33,May 14-20,,148641330,+19.2%,166321909,+15.7%,155,Troy,20,2004-05-14
34,May 7-13,,124651728,+22.7%,143732121,+11.7%,155,Van Helsing,19,2004-05-07
35,Apr 30-May 6,,101595849,+1.8%,128724662,+2.1%,148,Mean Girls,18,2004-04-30
36,Apr 23-29,,99756364,+1%,126132120,-2.2%,135,Man on Fire,17,2004-04-23
37,Apr 16-22,,98769089,-18.8%,128915774,-20.4%,133,Kill Bill: Vol. 2,16,2004-04-16
38,Apr 9-15,,121628443,-17.9%,161928722,-8.8%,131,The Passion of the Christ,15,2004-04-09
39,Apr 2-8,,148192032,+14.6%,177525969,+16.8%,123,Hellboy,14,2004-04-02
40,Mar 26-Apr 1,,129285946,-3.9%,152021839,-1%,135,Scooby-Doo 2: Monsters Unleashed,13,2004-03-26
41,Mar 19-25,,134562019,-2.1%,153632555,-4.3%,130,Dawn of the Dead,12,2004-03-19
42,Mar 12-18,,137387622,-17.1%,160604256,-14.7%,127,The Passion of the Christ,11,2004-03-12
43,Mar 5-11,,165781986,-9.5%,188315756,-11.2%,119,The Passion of the Christ,10,2004-03-05
44,Feb 27-Mar 4,,183185783,+49.9%,212141763,+33.4%,124,The Passion of the Christ,9,2004-02-27
45,Feb 20-26,,122193687,-5%,159058955,+1.5%,134,The Passion of the Christ,8,2004-02-20
46,Feb 13-19,,128578099,+25.4%,156764514,+13.5%,132,50 First Dates,7,2004-02-13
47,Feb 6-12,,102526699,+25.3%,138085206,+14.1%,120,Barbershop 2: Back in Business,6,2004-02-06
48,Jan 30-Feb 5,,81818183,-17.5%,121054777,-7.5%,116,You Got Served,5,2004-01-30
49,Jan 23-29,,99165878,-15.7%,130816168,-14.2%,119,The Butterfly Effect,4,2004-01-23
50,Jan 16-22,,117665122,+11.3%,152382375,+11.3%,117,Along Came Polly,3,2004-01-16
51,Jan 9-15,,105697665,-27.3%,136950341,-24.2%,109,The Lord of the Rings: The Return of the King,2,2004-01-09
52,Jan 2-8,,145460844,-51.7%,180564994,-49.4%,112,The Lord of the Rings: The Return of the King,1,2004-01-02
