,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,Dec 25-31,,240809469,+109.3%,265892846,+131%,27,Patch Adams,52,1998-12-25
1,Dec 18-24,,115050731,+43.1%,115115751,+42.7%,13,You've Got Mail,51,1998-12-18
2,Dec 11-17,,80393369,+8%,80653202,+7.7%,11,Star Trek: Insurrection,50,1998-12-11
3,Dec 4-10,,74455109,-43.3%,74906191,-46.8%,12,A Bug's Life,49,1998-12-04
4,Nov 27-Dec 3,,131311241,-6.6%,140673770,-9.5%,15,A Bug's Life,48,1998-11-27
5,Nov 20-26,,140657990,+40.6%,155493912,+55.4%,19,The Rugrats Movie,47,1998-11-20
6,Nov 13-19,,100013006,-16.8%,100077813,-18.1%,14,The Waterboy,46,1998-11-13
7,Nov 6-12,,120245190,+119%,122241650,+117.4%,13,The Waterboy,45,1998-11-06
8,Oct 30-Nov 5,,54902593,-26.6%,56216973,-31.9%,16,Vampires,44,1998-10-30
9,Oct 23-29,,74803445,-15%,82519332,-8.1%,18,Pleasantville,43,1998-10-23
10,Oct 16-22,,87988293,+8.2%,89769194,+9.8%,16,Practical Magic,42,1998-10-16
11,Oct 9-15,,81324980,-19.2%,81759085,-19.2%,16,Antz,41,1998-10-09
12,Oct 2-8,,100692933,+23.5%,101217644,+23.4%,15,Antz,40,1998-10-02
13,Sep 25-Oct 1,,81510503,-2.5%,82010535,-2.7%,15,Rush Hour,39,1998-09-25
14,Sep 18-24,,83627711,+73.3%,84295067,+72.2%,18,Rush Hour,38,1998-09-18
15,Sep 11-17,,48266905,-27.5%,48942082,-36%,18,Rounders,37,1998-09-11
16,Sep 4-10,,66602969,-10.2%,76498830,-16%,18,There's Something About Mary,36,1998-09-04
17,Aug 28-Sep 3,,74166079,-23.6%,91054524,-23.8%,21,Blade,35,1998-08-28
18,Aug 21-27,,97039249,-18.8%,119480249,-16.6%,21,Blade,34,1998-08-21
19,Aug 14-20,,119452126,-19.6%,143292862,-9.7%,22,Saving Private Ryan,33,1998-08-14
20,Aug 7-13,,148573660,-4.4%,158658470,-9.8%,17,Saving Private Ryan,32,1998-08-07
21,Jul 31-Aug 6,,155374897,-9%,175854864,-6.3%,22,Saving Private Ryan,31,1998-07-31
22,Jul 24-30,,170797139,+2.7%,187736595,+7.7%,18,Saving Private Ryan,30,1998-07-24
23,Jul 17-23,,166261589,-3.2%,174394198,-4.1%,17,The Mask of Zorro,29,1998-07-17
24,Jul 10-16,,171758926,+10.3%,181762423,+13.4%,18,Lethal Weapon 4,28,1998-07-10
25,Jul 3-9,,155711378,-6.3%,160328889,-8.5%,16,Armageddon,27,1998-07-03
26,Jun 26-Jul 2,,166166368,+11.8%,175236066,+15.9%,21,Doctor Dolittle,26,1998-06-26
27,Jun 19-25,,148652400,+27.5%,151156618,+28.1%,18,The X Files,25,1998-06-19
28,Jun 12-18,,116632027,-1.9%,117956731,-1.4%,17,The Truman Show,24,1998-06-12
29,Jun 5-11,,118857573,+32.8%,119594412,+31.2%,16,The Truman Show,23,1998-06-05
30,May 29-Jun 4,,89480582,-35.5%,91171030,-34.8%,16,Godzilla,22,1998-05-29
31,May 22-28,,138777828,+56%,139828060,+55.1%,15,Godzilla,21,1998-05-22
32,May 15-21,,88969942,+6%,90147520,+3.6%,17,Deep Impact,20,1998-05-15
33,May 8-14,,83894987,+47.4%,87011541,+44.5%,16,Deep Impact,19,1998-05-08
34,May 1-7,,56921052,-1%,60202931,-3.4%,19,He Got Game,18,1998-05-01
35,Apr 24-30,,57508605,-22.6%,62298814,-25.2%,17,The Big Hit,17,1998-04-24
36,Apr 17-23,,74289946,-23.1%,83233333,-21.1%,21,City of Angels,16,1998-04-17
37,Apr 10-16,,96589865,+6.1%,105496308,+11.8%,20,City of Angels,15,1998-04-10
38,Apr 3-9,,91072974,+10%,94403339,+3.7%,14,Lost in Space,14,1998-04-03
39,Mar 27-Apr 2,,82827688,-15%,91013234,-9.6%,21,Titanic,13,1998-03-27
40,Mar 20-26,,97450939,+3.8%,100672172,+2.4%,17,Titanic,12,1998-03-20
41,Mar 13-19,,93922854,+3.3%,98305483,+2.6%,15,Titanic,11,1998-03-13
42,Mar 6-12,,90895603,+21.4%,95809815,+12.4%,17,Titanic,10,1998-03-06
43,Feb 27-Mar 5,,74890649,-13.1%,85221353,-4.7%,18,Titanic,9,1998-02-27
44,Feb 20-26,,86195253,-32%,89398465,-33.8%,17,Titanic,8,1998-02-20
45,Feb 13-19,,126691590,+50.3%,135069302,+54.5%,16,Titanic,7,1998-02-13
46,Feb 6-12,,84274269,-12.2%,87408692,-14.3%,15,Titanic,6,1998-02-06
47,Jan 30-Feb 5,,95933597,+1.2%,102047737,+1.2%,15,Titanic,5,1998-01-30
48,Jan 23-29,,94789134,-24.6%,100836664,-24.2%,18,Titanic,4,1998-01-23
49,Jan 16-22,,125759701,+18%,133019337,+17.3%,17,Titanic,3,1998-01-16
50,Jan 9-15,,106605516,-16.8%,113391860,-24.1%,18,Titanic,2,1998-01-09
51,Jan 2-8,,128188989,-43.9%,149491304,-43.8%,21,Titanic,1,1998-01-02
