,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 31-Jan 6, 2000",,134673193,-36.4%,161598334,-32.4%,55,Stuart Little,53,1999-12-31
1,Dec 24-30,,211807969,+62.1%,238921917,+60.3%,56,Stuart Little,52,1999-12-24
2,Dec 17-23,,130687358,+46%,149009815,+48.1%,52,Stuart Little,51,1999-12-17
3,Dec 10-16,,89533937,+4.8%,100597301,+1.3%,55,The Green Mile,50,1999-12-10
4,Dec 3-9,,85434825,-49.3%,99294909,-47.4%,60,Toy Story 2,49,1999-12-03
5,Nov 26-Dec 2,,168466373,-2.9%,188810023,-7.3%,57,Toy Story 2,48,1999-11-26
6,Nov 19-25,,173563940,+70.7%,203724346,+56.2%,59,The World Is Not Enough,47,1999-11-19
7,Nov 12-18,,101658121,+5.8%,130385765,+2.6%,54,Pokémon: The First Movie - Mewtwo Strikes Back,46,1999-11-12
8,Nov 5-11,,96118293,+43.2%,127048569,+40.3%,59,The Bone Collector,45,1999-11-05
9,Oct 29-Nov 4,,67107057,-8.9%,90569340,-8.4%,61,House on Haunted Hill,44,1999-10-29
10,Oct 22-28,,73673897,-16.2%,98914271,-5.9%,56,The Best Man,43,1999-10-22
11,Oct 15-21,,87901315,-12.4%,105068404,-10.5%,56,Fight Club,42,1999-10-15
12,Oct 8-14,,100369998,+3.9%,117426556,+5.3%,57,Double Jeopardy,41,1999-10-08
13,Oct 1-7,,96576565,+7.5%,111497757,+8.3%,54,Double Jeopardy,40,1999-10-01
14,Sep 24-30,,89840678,+5.4%,102933194,+1.1%,48,Double Jeopardy,39,1999-09-24
15,Sep 17-23,,85250679,+8.2%,101832096,-1.7%,56,Blue Streak,38,1999-09-17
16,Sep 10-16,,78814682,-2.5%,103594298,-7.7%,61,Stigmata,37,1999-09-10
17,Sep 3-9,,80795607,-26.3%,112242759,-25.7%,53,The Sixth Sense,36,1999-09-03
18,Aug 27-Sep 2,,109632723,-9.3%,151100307,-2.4%,59,The Sixth Sense,35,1999-08-27
19,Aug 20-26,,120861775,-23%,154872334,-18.9%,62,The Sixth Sense,34,1999-08-20
20,Aug 13-19,,156914669,-22.6%,191036808,-19%,63,The Sixth Sense,33,1999-08-13
21,Aug 6-12,,202847607,-2%,235727414,-3.1%,58,The Sixth Sense,32,1999-08-06
22,Jul 30-Aug 5,,206997165,+30.9%,243303228,+15.1%,59,Runaway Bride,31,1999-07-30
23,Jul 23-29,,158159190,+7.5%,211386548,+12.2%,62,The Haunting,30,1999-07-23
24,Jul 16-22,,147186817,-6.5%,188320035,+3.9%,56,Eyes Wide Shut,29,1999-07-16
25,Jul 9-15,,157374495,-14.6%,181312216,-9.3%,63,American Pie,28,1999-07-09
26,Jul 2-8,,184286031,-19.4%,199922943,-19.7%,60,Wild Wild West,27,1999-07-02
27,Jun 25-Jul 1,,228678103,+22.2%,249040144,+25.2%,60,Big Daddy,26,1999-06-25
28,Jun 18-24,,187144210,+13.1%,198931902,+10.5%,55,Tarzan,25,1999-06-18
29,Jun 11-17,,165421547,+45.7%,179993217,+40%,58,Austin Powers: The Spy Who Shagged Me,24,1999-06-11
30,Jun 4-10,,113511496,-29.4%,128536028,-27.2%,60,Star Wars: Episode I - The Phantom Menace,23,1999-06-04
31,May 28-Jun 3,,160834386,+9.7%,176458640,+9.5%,53,Star Wars: Episode I - The Phantom Menace,22,1999-05-28
32,May 21-27,,146659997,+29.6%,161093241,+23.9%,55,Star Wars: Episode I - The Phantom Menace,21,1999-05-21
33,May 14-20,,113183876,+15.6%,129985700,+16.2%,58,Star Wars: Episode I - The Phantom Menace,20,1999-05-14
34,May 7-13,,97910781,+55%,111822701,+41.2%,55,The Mummy,19,1999-05-07
35,Apr 30-May 6,,63168380,+3.6%,79197155,-1.7%,57,Entrapment,18,1999-04-30
36,Apr 23-29,,60996782,-28.5%,80586443,-23.4%,58,The Matrix,17,1999-04-23
37,Apr 16-22,,85301127,+2.5%,105265573,-1.9%,55,Life,16,1999-04-16
38,Apr 9-15,,83197255,-20.6%,107297991,-17.2%,56,The Matrix,15,1999-04-09
39,Apr 2-8,,104834251,+34.3%,129627428,+16.9%,58,The Matrix,14,1999-04-02
40,Mar 26-Apr 1,,78042964,+8%,110881838,+7.8%,55,Forces of Nature,13,1999-03-26
41,Mar 19-25,,72253507,-13.2%,102884430,-10.6%,56,Forces of Nature,12,1999-03-19
42,Mar 12-18,,83214378,-1.7%,115029865,+3.8%,57,Analyze This,11,1999-03-12
43,Mar 5-11,,84633665,+15.1%,110768620,+9.5%,57,Analyze This,10,1999-03-05
44,Feb 26-Mar 4,,73555496,+0.2%,101184266,-0.9%,54,8MM,9,1999-02-26
45,Feb 19-25,,73436432,-30.4%,102132309,-25.5%,51,Message in a Bottle,8,1999-02-19
46,Feb 12-18,,105480596,+46.1%,137054663,+33.5%,59,Message in a Bottle,7,1999-02-12
47,Feb 5-11,,72190879,+11.1%,102682354,+11.6%,54,Payback,6,1999-02-05
48,Jan 29-Feb 4,,64978026,-9.5%,92037443,-13.9%,58,She's All That,5,1999-01-29
49,Jan 22-28,,71812368,-33.1%,106871043,-26.6%,58,Varsity Blues,4,1999-01-22
50,Jan 15-21,,107348142,+19.6%,145543580,+29.1%,54,Varsity Blues,3,1999-01-15
51,Jan 8-14,,89739354,-26.3%,112696485,-25.5%,50,A Civil Action,2,1999-01-08
52,Jan 1-7,,121772879,-49.4%,151287903,-43.1%,56,Patch Adams,1,1999-01-01
