,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,Dec 25-31,,35645037,+256.7%,36219846,+224.6%,32,Wonder Woman 1984,52,2020-12-25
1,Dec 18-24,,9994339,+48.1%,11158576,+39.5%,38,The Croods: A New Age,51,2020-12-18
2,Dec 11-17,,6747258,-26%,7996147,-22%,37,The Croods: A New Age,50,2020-12-11
3,Dec 4-10,,9113682,-41.7%,10250177,-38.7%,41,The Croods: A New Age,49,2020-12-04
4,Nov 27-Dec 3,,15632850,+30.5%,16708864,+21.6%,36,The Croods: A New Age,48,2020-11-27
5,Nov 20-26,,11982001,-5.2%,13742140,-1.7%,46,The Croods: A New Age,47,2020-11-20
6,Nov 13-19,,12640558,-9.4%,13981080,-5.8%,38,Freaky,46,2020-11-13
7,Nov 6-12,,13950360,+25.3%,14838502,+20.2%,41,Let Him Go,45,2020-11-06
8,Oct 30-Nov 5,,11132229,-5.4%,12343556,-11.5%,42,Come Play,44,2020-10-30
9,Oct 23-29,,11766385,-20.4%,13941885,-14.1%,51,Honest Thief,43,2020-10-23
10,Oct 16-22,,14781282,+21.5%,16229827,+20.7%,57,Honest Thief,42,2020-10-16
11,Oct 9-15,,12165864,+17.3%,13446315,+14.4%,45,The War with Grandpa,41,2020-10-09
12,Oct 2-8,,10370313,-9.2%,11758783,-5.7%,38,Tenet,40,2020-10-02
13,Sep 25-Oct 1,,11425921,-22.8%,12464580,-19.1%,36,Tenet,39,2020-09-25
14,Sep 18-24,,14793560,-13.6%,15403958,-11.2%,30,Tenet,38,2020-09-18
15,Sep 11-17,,17114429,-28.6%,17341437,-28.1%,31,Tenet,37,2020-09-11
16,Sep 4-10,,23962098,+2.1%,24107364,+1.7%,28,Tenet,36,2020-09-04
17,Aug 28-Sep 3,,23467351,+188.1%,23705367,+187.9%,27,The New Mutants,35,2020-08-28
18,Aug 21-27,,8146007,+162.4%,8234319,+161.2%,21,Unhinged,34,2020-08-21
19,Aug 14-20,,3103865,+165.4%,3152281,+160.7%,24,The SpongeBob Movie: Sponge on the Run,33,2020-08-14
20,Aug 7-13,,1169679,+38.4%,1209292,+41.6%,17,The Tax Collector,32,2020-08-07
21,Jul 31-Aug 6,,845070,-14.8%,854110,-13.9%,15,The Rental,31,2020-07-31
22,Jul 24-30,,991561,+101.8%,992267,+101.8%,11,The Rental,30,2020-07-24
23,Jul 17-23,,491369,-15.6%,491828,-16.1%,11,Relic,29,2020-07-17
24,Jul 10-16,,582028,-12.6%,586299,-12.9%,15,Relic,28,2020-07-10
25,Jul 3-9,,665702,+26.9%,672807,+27.5%,14,Relic,27,2020-07-03
26,Jun 26-Jul 2,,524785,-32.4%,527749,-32.2%,13,Becky,26,2020-06-26
27,Jun 19-25,,775932,+0.6%,778684,+0.9%,15,Followed,25,2020-06-19
28,Jun 12-18,,771316,+19%,771415,+19.1%,12,Becky,24,2020-06-12
29,Jun 5-11,,647894,+160.7%,647894,+160.7%,7,The Wretched,23,2020-06-05
30,May 29-Jun 4,,248484,-26.7%,248484,-26.7%,7,The Wretched,22,2020-05-29
31,May 22-28,,339051,+63.9%,339051,+63.9%,8,The Wretched,21,2020-05-22
32,May 15-21,,206849,+45.9%,206849,+45.9%,6,The Wretched,20,2020-05-15
33,May 8-14,,141730,+8.9%,141730,+8.9%,6,The Wretched,19,2020-05-08
34,May 1-7,,130162,+614%,130162,+614%,3,The Wretched,18,2020-05-01
35,Apr 24-30,,18231,+107.4%,18231,+107.4%,2,True History of the Kelly Gang,17,2020-04-24
36,Apr 17-23,,8791,-50.1%,8791,-50.1%,3,Resistance,16,2020-04-17
37,Apr 10-16,,17624,+197.5%,17624,+197.5%,3,"Phoenix, OregonRe-release",15,2020-04-10
38,Apr 3-9,,5925,+12.9%,5925,+12.9%,2,"Phoenix, OregonRe-release",14,2020-04-03
39,Mar 27-Apr 2,,5250,-6.8%,5250,-6.8%,3,Strike,13,2020-03-27
40,Mar 20-26,,5632,-100%,5632,-100%,4,"Phoenix, OregonRe-release",12,2020-03-20
41,Mar 13-19,,54519705,-54.5%,58926153,-56.2%,75,Onward,11,2020-03-13
42,Mar 6-12,,119859142,+9.7%,134543546,+4.5%,100,Onward,10,2020-03-06
43,Feb 28-Mar 5,,109239910,-2.4%,128714844,-5.4%,101,The Invisible Man,9,2020-02-28
44,Feb 21-27,,111872409,-41.2%,136094614,-36.7%,105,The Call of the Wild,8,2020-02-21
45,Feb 14-20,,190302035,+78.3%,215111943,+68.6%,98,Sonic the Hedgehog,7,2020-02-14
46,Feb 7-13,,106722654,+20.5%,127579254,+13.7%,82,Birds of Prey,6,2020-02-07
47,Jan 31-Feb 6,,88561600,-35.8%,112241086,-30.2%,73,Bad Boys for Life,5,2020-01-31
48,Jan 24-30,,137895399,-36.8%,160776068,-34.9%,80,Bad Boys for Life,4,2020-01-24
49,Jan 17-23,,218203326,+36.9%,246852406,+34.5%,82,Bad Boys for Life,3,2020-01-17
50,Jan 10-16,,159437532,-8.9%,183503852,-4.3%,77,1917,2,2020-01-10
51,Jan 3-9,,175076363,-50.9%,191738131,-49.2%,81,Star Wars: Episode IX - The Rise of Skywalker,1,2020-01-03
