,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 31-Jan 6, 2022",,133399486,-53%,138000934,-52.8%,39,Spider-Man: No Way Home,53,2021-12-31
1,Dec 24-30,,283924384,-36.6%,292392077,-35.2%,39,Spider-Man: No Way Home,52,2021-12-24
2,Dec 17-23,,448028645,+716.7%,450887647,+658.4%,45,Spider-Man: No Way Home,51,2021-12-17
3,Dec 10-16,,54856586,-14.8%,59453081,-15.9%,49,West Side Story,50,2021-12-10
4,Dec 3-9,,64423187,-44.6%,70680627,-42.8%,47,Encanto,49,2021-12-03
5,Nov 26-Dec 2,,116308152,-16.8%,123659629,-17%,48,Encanto,48,2021-11-26
6,Nov 19-25,,139857793,+67.3%,149045469,+65.7%,50,Ghostbusters: Afterlife,47,2021-11-19
7,Nov 12-18,,83607699,-40.6%,89924449,-40.7%,40,Eternals,46,2021-11-12
8,Nov 5-11,,140732951,+66.1%,151540050,+71.4%,46,Eternals,45,2021-11-05
9,Oct 29-Nov 4,,84733979,-23.2%,88414755,-20.9%,50,Dune,44,2021-10-29
10,Oct 22-28,,110317110,-18.5%,111710408,-18.3%,42,Dune,43,2021-10-22
11,Oct 15-21,,135340292,-6.6%,136795787,-6.8%,40,Halloween Kills,42,2021-10-15
12,Oct 8-14,,144904095,-7.1%,146751036,-8.5%,46,No Time to Die,41,2021-10-08
13,Oct 1-7,,155950167,+236.5%,160377703,+218.9%,51,Venom: Let There Be Carnage,40,2021-10-01
14,Sep 24-30,,46346732,-21.6%,50290427,-21%,52,Shang-Chi and the Legend of the Ten Rings,39,2021-09-24
15,Sep 17-23,,59105804,-23.5%,63629567,-21.6%,54,Shang-Chi and the Legend of the Ten Rings,38,2021-09-17
16,Sep 10-16,,77213372,-51.1%,81149728,-49.7%,59,Shang-Chi and the Legend of the Ten Rings,37,2021-09-10
17,Sep 3-9,,157782148,+106.1%,161355063,+96.6%,50,Shang-Chi and the Legend of the Ten Rings,36,2021-09-03
18,Aug 27-Sep 2,,76568298,-6.4%,82064205,-7.2%,59,Candyman,35,2021-08-27
19,Aug 20-26,,81832765,-20%,88460481,-17.5%,49,Free Guy,34,2021-08-20
20,Aug 13-19,,102282746,+15.1%,107173681,+14.7%,52,Free Guy,33,2021-08-13
21,Aug 6-12,,88882420,-22.1%,93429312,-21.7%,57,The Suicide Squad,32,2021-08-06
22,Jul 30-Aug 5,,114081309,+15.6%,119308630,+14.2%,56,Jungle Cruise,31,2021-07-30
23,Jul 23-29,,98700860,-22.2%,104492311,-20.8%,61,Old,30,2021-07-23
24,Jul 16-22,,126946209,-22.2%,131872999,-20.5%,47,Space Jam: A New Legacy,29,2021-07-16
25,Jul 9-15,,163081749,+45.8%,165820525,+43.7%,41,Black Widow,28,2021-07-09
26,Jul 2-8,,111880638,-18.3%,115363174,-17.8%,47,F9: The Fast Saga,27,2021-07-02
27,Jun 25-Jul 1,,136958945,+103%,140426117,+99.8%,50,F9: The Fast Saga,26,2021-06-25
28,Jun 18-24,,67452606,-21.1%,70290314,-20.6%,48,Hitman's Wife's Bodyguard,25,2021-06-18
29,Jun 11-17,,85507031,-9.2%,88574520,-7.3%,45,A Quiet Place Part II,24,2021-06-11
30,Jun 4-10,,94211484,-19.5%,95498185,-19.9%,45,The Conjuring: The Devil Made Me Do It,23,2021-06-04
31,May 28-Jun 3,,116994985,+524.5%,119187658,+484.9%,47,A Quiet Place Part II,22,2021-05-28
32,May 21-27,,18733229,-40.9%,20378092,-41.7%,46,Spiral,21,2021-05-21
33,May 14-20,,31704906,+11.1%,34961865,+11.8%,48,Spiral,20,2021-05-14
34,May 7-13,,28534296,-2%,31270379,-0.1%,48,Wrath of Man,19,2021-05-07
35,Apr 30-May 6,,29130585,-51%,31313313,-48.4%,42,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,18,2021-04-30
36,Apr 23-29,,59446056,+163.3%,60722724,+147.5%,38,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,17,2021-04-23
37,Apr 16-22,,22580867,-28%,24538338,-25.4%,46,Godzilla vs. Kong,16,2021-04-16
