,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
38,Apr 9-15,,31341390,-43.6%,32872762,-42.5%,43,Godzilla vs. Kong,15,2021-04-09
39,Apr 2-8,,55538342,+42.2%,57137115,+38%,40,Godzilla vs. Kong,14,2021-04-02
40,Mar 26-Apr 1,,39061840,+96.1%,41396012,+80.3%,48,Godzilla vs. Kong,13,2021-03-26
41,Mar 19-25,,19915033,-7.8%,22962344,-4.2%,44,Raya and the Last Dragon,12,2021-03-19
42,Mar 12-18,,21594395,-22.5%,23972278,-19%,45,Raya and the Last Dragon,11,2021-03-12
43,Mar 5-11,,27854618,+18.6%,29602325,+18.4%,40,Raya and the Last Dragon,10,2021-03-05
44,Feb 26-Mar 4,,23487412,+164.4%,24996590,+147.1%,39,Tom & Jerry,9,2021-02-26
45,Feb 19-25,,8881951,-33.8%,10115048,-31.4%,41,The Croods: A New Age,8,2021-02-19
46,Feb 12-18,,13417487,+49.8%,14738089,+53.2%,35,The Croods: A New Age,7,2021-02-12
47,Feb 5-11,,8957870,-32.9%,9621991,-32.3%,36,The Little Things,6,2021-02-05
48,Jan 29-Feb 4,,13345305,+30.9%,14211103,+28.3%,33,The Little Things,5,2021-01-29
49,Jan 22-28,,10198423,-28.6%,11076863,-25%,37,The Marksman,4,2021-01-22
50,Jan 15-21,,14292950,+28.7%,14774235,+29.5%,23,The Marksman,3,2021-01-15
51,Jan 8-14,,11101685,-29.8%,11409751,-29.3%,26,Wonder Woman 1984,2,2021-01-08
52,Jan 1-7,,15810577,-55.6%,16130221,-55.5%,25,Wonder Woman 1984,1,2021-01-01
