,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 31-Jan 6, 2011",,185143826,-36.6%,216588441,-34.9%,103,Little Fockers,53,2010-12-31
1,Dec 24-30,,292069710,+32.1%,332900157,+33.5%,101,Little Fockers,52,2010-12-24
2,Dec 17-23,,221089081,+104%,249283195,+101.9%,118,TRON: Legacy,51,2010-12-17
3,Dec 10-16,,108360307,+12.6%,123480611,+10%,126,The Chronicles of Narnia: The Voyage of the Dawn Treader,50,2010-12-10
4,Dec 3-9,,96214123,-51.8%,112249551,-48.2%,120,Tangled,49,2010-12-03
5,Nov 26-Dec 2,,199412668,-28.9%,216542327,-29.7%,108,Harry Potter and the Deathly Hallows: Part 1,48,2010-11-26
6,Nov 19-25,,280466321,+110.1%,307994976,+103%,126,Harry Potter and the Deathly Hallows: Part 1,47,2010-11-19
7,Nov 12-18,,133462562,-26.1%,151745628,-26.2%,128,Megamind,46,2010-11-12
8,Nov 5-11,,180525204,+62.4%,205751189,+60.7%,132,Megamind,45,2010-11-05
9,Oct 29-Nov 4,,111168957,-25.1%,128027682,-24%,132,Saw 3D,44,2010-10-29
10,Oct 22-28,,148384182,-3.1%,168346763,-2.7%,135,Paranormal Activity 2,43,2010-10-22
11,Oct 15-21,,153145471,+44.6%,172955016,+34%,153,Jackass 3D,42,2010-10-15
12,Oct 8-14,,105943348,-1.9%,129022790,+3.3%,147,The Social Network,41,2010-10-08
13,Oct 1-7,,108025163,-6%,124942530,-4.9%,148,The Social Network,40,2010-10-01
14,Sep 24-30,,114976969,+5.2%,131313391,<0.1%,144,Wall Street: Money Never Sleeps,39,2010-09-24
15,Sep 17-23,,109280426,+34.8%,131316767,+22.4%,146,The Town,38,2010-09-17
16,Sep 10-16,,81070649,-25.4%,107283399,-30.4%,138,Resident Evil: Afterlife,37,2010-09-10
17,Sep 3-9,,108704262,-6.5%,154078058,-2.4%,123,The American,36,2010-09-03
18,Aug 27-Sep 2,,116285931,-19.5%,157924612,-14%,122,Takers,35,2010-08-27
19,Aug 20-26,,144540106,-23.8%,183643220,-17%,121,The Expendables,34,2010-08-20
20,Aug 13-19,,189669347,+5.4%,221294779,+7.7%,114,The Expendables,33,2010-08-13
21,Aug 6-12,,179960773,-10.9%,205380980,-10.3%,112,The Other Guys,32,2010-08-06
22,Jul 30-Aug 5,,201994245,-12.1%,228843650,-7.7%,112,Inception,31,2010-07-30
23,Jul 23-29,,229856564,-13.5%,247823919,-11.5%,109,Inception,30,2010-07-23
24,Jul 16-22,,265582738,-4.2%,279914074,-4.7%,112,Inception,29,2010-07-16
25,Jul 9-15,,277162342,-12.9%,293659395,-12.4%,115,Despicable Me,28,2010-07-09
26,Jul 2-8,,318281360,-4.8%,335174558,-6.6%,112,The Twilight Saga: Eclipse,27,2010-07-02
27,Jun 25-Jul 1,,334456699,+17.4%,358919937,+16.6%,115,The Twilight Saga: Eclipse,26,2010-06-25
28,Jun 18-24,,284954056,+41.2%,307696026,+40.8%,121,Toy Story 3,25,2010-06-18
29,Jun 11-17,,201765833,+15.9%,218553220,+17.4%,121,The Karate Kid,24,2010-06-11
30,Jun 4-10,,174015593,-21.6%,186228148,-20.8%,125,Shrek Forever After,23,2010-06-04
31,May 28-Jun 3,,221904259,+13%,235029188,+11.6%,114,Shrek Forever After,22,2010-05-28
32,May 21-27,,196322161,+17.5%,210675007,+15.5%,119,Shrek Forever After,21,2010-05-21
33,May 14-20,,167149252,-20.6%,182351307,-20%,124,Iron Man 2,20,2010-05-14
34,May 7-13,,210622260,+93.7%,227854671,+78%,123,Iron Man 2,19,2010-05-07
35,Apr 30-May 6,,108758158,-0.8%,128020832,-0.6%,121,A Nightmare on Elm Street,18,2010-04-30
36,Apr 23-29,,109653627,-19.7%,128734978,-17.2%,121,How to Train Your Dragon,17,2010-04-23
37,Apr 16-22,,136625624,-6.6%,155463349,-2.8%,122,Kick-Ass,16,2010-04-16
38,Apr 9-15,,146338317,-37.2%,159992058,-36.1%,118,Clash of the Titans,15,2010-04-09
39,Apr 2-8,,233119762,+38.7%,250319855,+27.4%,119,Clash of the Titans,14,2010-04-02
40,Mar 26-Apr 1,,168050502,+17.8%,196468026,+19.4%,118,How to Train Your Dragon,13,2010-03-26
41,Mar 19-25,,142627446,-18.7%,164557173,-18.1%,107,Alice in Wonderland,12,2010-03-19
42,Mar 12-18,,175375317,-25%,201010289,-20.7%,114,Alice in Wonderland,11,2010-03-12
43,Mar 5-11,,233698295,+72.6%,253480439,+62.3%,112,Alice in Wonderland,10,2010-03-05
44,Feb 26-Mar 4,,135377970,-9.7%,156167406,-8.4%,112,Shutter Island,9,2010-02-26
45,Feb 19-25,,149864143,-38.5%,170415749,-38%,111,Shutter Island,8,2010-02-19
46,Feb 12-18,,243788309,+95.4%,274911492,+82.1%,101,Valentine's Day,7,2010-02-12
47,Feb 5-11,,124745365,-7%,150977103,-7.5%,105,Dear John,6,2010-02-05
48,Jan 29-Feb 4,,134079077,-13%,163249125,-12.3%,98,Avatar,5,2010-01-29
49,Jan 22-28,,154058552,-28.3%,186197011,-24.6%,100,Avatar,4,2010-01-22
50,Jan 15-21,,214998622,+12.5%,246834769,+16.2%,98,Avatar,3,2010-01-15
51,Jan 8-14,,191104665,-28.5%,212425555,-26.4%,92,Avatar,2,2010-01-08
52,Jan 1-7,,267160812,-43.9%,288509520,-42.9%,82,Avatar,1,2010-01-01
