,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 30-Jan 5, 1984",,56384591,+3%,68612256,+5.2%,15,Terms of Endearment,52,1983-12-30
1,Dec 23-29,,54750656,+19.9%,65199709,+23.5%,14,Sudden Impact,51,1983-12-23
2,Dec 16-22,,45653515,+22.1%,52805613,+39.4%,14,Sudden Impact,50,1983-12-16
3,Dec 9-15,,37398008,+118%,37883423,+103.8%,11,Sudden Impact,49,1983-12-09
4,Dec 2-8,,17157853,-34%,18590598,-38.9%,12,Terms of Endearment,48,1983-12-02
5,Nov 25-Dec 1,,26011188,+4.3%,30403904,+6.2%,14,Terms of Endearment,47,1983-11-25
6,Nov 18-24,,24943550,+4.9%,28637008,+11.8%,14,The Big Chill,46,1983-11-18
7,Nov 11-17,,23770252,-21.5%,25608925,-22.3%,12,The Big Chill,45,1983-11-11
8,Nov 4-10,,30284075,+9.1%,32946623,+15%,13,Never Say Never Again,44,1983-11-04
9,Oct 28-Nov 3,,27760129,-9.4%,28643334,-11.3%,11,Richard Pryor... Here and Now,43,1983-10-28
10,Oct 21-27,,30652259,+23.4%,32289556,+20.3%,13,Never Say Never Again,42,1983-10-21
11,Oct 14-20,,24838449,-23.7%,26832846,-24.3%,13,Never Say Never Again,41,1983-10-14
12,Oct 7-13,,32564534,+40.4%,35463131,+33%,14,Never Say Never Again,40,1983-10-07
13,Sep 30-Oct 6,,23201629,+17.2%,26659104,+14.5%,13,The Big Chill,39,1983-09-30
14,Sep 23-29,,19794151,-11.7%,23273528,-4.1%,15,Mr. Mom,38,1983-09-23
15,Sep 16-22,,22422634,-12.7%,24280841,-9.3%,12,Mr. Mom,37,1983-09-16
16,Sep 9-15,,25675652,-40.3%,26777381,-45.4%,11,Mr. Mom,36,1983-09-09
17,Sep 2-8,,43042628,-8.4%,49074744,-7%,14,Mr. Mom,35,1983-09-02
18,Aug 26-Sep 1,,46969141,-10.1%,52771724,-7.4%,14,Mr. Mom,34,1983-08-26
19,Aug 19-25,,52219485,+1.1%,56971903,-12.9%,13,Easy Money,33,1983-08-19
20,Aug 12-18,,51650738,-9.7%,65445651,-1.2%,17,National Lampoon's Vacation,32,1983-08-12
21,Aug 5-11,,57209737,-22%,66247015,-20.5%,14,National Lampoon's Vacation,31,1983-08-05
22,Jul 29-Aug 4,,73369134,-9.4%,83321807,-4.2%,14,National Lampoon's Vacation,30,1983-07-29
23,Jul 22-28,,80953623,+7.1%,86985316,+9.4%,13,Jaws 3-D,29,1983-07-22
24,Jul 15-21,,75554457,+34.6%,79492459,+32.3%,14,Staying Alive,28,1983-07-15
25,Jul 8-14,,56142234,-25.9%,60063083,-25.9%,14,Star Wars: Episode VI - Return of the Jedi,27,1983-07-08
26,Jul 1-7,,75781429,-14.2%,81092148,-14.8%,15,Star Wars: Episode VI - Return of the Jedi,26,1983-07-01
27,Jun 24-30,,88371877,+4.3%,95154603,+8%,17,Star Wars: Episode VI - Return of the Jedi,25,1983-06-24
28,Jun 17-23,,84719233,+14.8%,88142110,+14.8%,14,Superman III,24,1983-06-17
29,Jun 10-16,,73808367,+4%,76807426,-0.7%,13,Star Wars: Episode VI - Return of the Jedi,23,1983-06-10
30,Jun 3-9,,70963744,-10.3%,77356110,-6.4%,14,Star Wars: Episode VI - Return of the Jedi,22,1983-06-03
31,May 27-Jun 2,,79134352,+63.2%,82652643,+58.1%,13,Star Wars: Episode VI - Return of the Jedi,21,1983-05-27
32,May 20-26,,48482287,+35.4%,52285673,+35.1%,15,Star Wars: Episode VI - Return of the Jedi,20,1983-05-20
33,May 13-19,,35806952,+40.6%,38692620,+31.7%,14,Blue Thunder,19,1983-05-13
34,May 6-12,,25471557,+4.1%,29383356,+2.2%,15,Flashdance,18,1983-05-06
35,Apr 29-May 5,,24460382,-13.8%,28758201,-15.8%,15,Flashdance,17,1983-04-29
36,Apr 22-28,,28367835,-14.3%,34171396,-13.3%,16,Flashdance,16,1983-04-22
37,Apr 15-21,,33089791,+11.2%,39424475,+18.8%,16,Lone Wolf McQuade,15,1983-04-15
38,Apr 8-14,,29753784,-21.4%,33190189,-22%,14,Tootsie,14,1983-04-08
39,Apr 1-7,,37839862,-13.9%,42557853,-10.2%,14,Spring Break,13,1983-04-01
40,Mar 25-31,,43954865,+71%,47407827,+68.9%,14,Spring Break,12,1983-03-25
41,Mar 18-24,,25701378,+10.8%,28073891,+4.2%,13,High Road to China,11,1983-03-18
42,Mar 11-17,,23188030,-1.2%,26944059,+2.2%,16,Tootsie,10,1983-03-11
43,Mar 4-10,,23478406,-15%,26364417,-12.7%,15,Tootsie,9,1983-03-04
44,Feb 25-Mar 3,,27606416,-24.3%,30212142,-28.8%,12,Tootsie,8,1983-02-25
45,Feb 18-24,,36484010,+41.8%,42445465,+53.9%,16,Tootsie,7,1983-02-18
46,Feb 11-17,,25724718,-14.8%,27578554,-18.5%,12,Tootsie,6,1983-02-11
47,Feb 4-10,,30181345,-6.6%,33846305,-1.5%,13,Tootsie,5,1983-02-04
48,Jan 28-Feb 3,,32327319,-4.2%,34354040,-2.5%,12,Tootsie,4,1983-01-28
49,Jan 21-27,,33757602,-20.3%,35227130,-18.9%,13,Tootsie,3,1983-01-21
50,Jan 14-20,,42343847,-19.7%,43410065,-22.8%,11,Tootsie,2,1983-01-14
51,Jan 7-13,,52736843,-16.8%,56231811,-17.7%,13,Tootsie,1,1983-01-07
