,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 27-Jan 2, 2020",,356629712,-23%,377804849,-22.2%,79,Star Wars: Episode IX - The Rise of Skywalker,52,2019-12-27
1,Dec 20-26,,463398427,+209%,485547943,+199.3%,81,Star Wars: Episode IX - The Rise of Skywalker,51,2019-12-20
2,Dec 13-19,,149964285,+38.4%,162246008,+30%,96,Jumanji: The Next Level,50,2019-12-13
3,Dec 6-12,,108389339,-47.4%,124799870,-44.6%,104,Frozen II,49,2019-12-06
4,Nov 29-Dec 5,,205960678,-33.6%,225284723,-34.2%,94,Frozen II,48,2019-11-29
5,Nov 22-28,,310099772,+158.4%,342358466,+131.7%,112,Frozen II,47,2019-11-22
6,Nov 15-21,,120024734,-14.1%,147774232,-13.8%,108,Ford v Ferrari,46,2019-11-15
7,Nov 8-14,,139687187,+5.2%,171355582,+9.1%,114,Midway,45,2019-11-08
8,Nov 1-7,,132789356,+6.5%,157058718,+4.9%,105,Terminator: Dark Fate,44,2019-11-01
9,Oct 25-31,,124693175,-27.5%,149669678,-19%,120,Joker,43,2019-10-25
10,Oct 18-24,,171949010,-8.5%,184816957,-8.6%,123,Maleficent: Mistress of Evil,42,2019-10-18
11,Oct 11-17,,187869354,-7.9%,202185650,-6.7%,114,Joker,41,2019-10-11
12,Oct 4-10,,203930000,+79.6%,216660456,+65.2%,110,Joker,40,2019-10-04
13,Sep 27-Oct 3,,113559015,-26.1%,131184326,-22.3%,124,Abominable,39,2019-09-27
14,Sep 20-26,,153599707,+20.8%,168838131,+12.9%,119,Downton Abbey,38,2019-09-20
15,Sep 13-19,,127100656,-19.3%,149537267,-16.2%,126,It Chapter Two,37,2019-09-13
16,Sep 6-12,,157563161,+60.1%,178412448,+25.5%,108,It Chapter Two,36,2019-09-06
17,Aug 30-Sep 5,,98441070,-20.6%,142189067,-8.9%,108,Angel Has Fallen,35,2019-08-30
18,Aug 23-29,,123992098,-15.2%,156037093,-12.3%,113,Angel Has Fallen,34,2019-08-23
19,Aug 16-22,,146225422,-20%,177854993,-12.2%,118,Good Boys,33,2019-08-16
20,Aug 9-15,,182853941,-15.2%,202634716,-10.9%,112,Fast & Furious Presents: Hobbs & Shaw,32,2019-08-09
21,Aug 2-8,,215607128,-9.4%,227524503,-9.8%,117,Fast & Furious Presents: Hobbs & Shaw,31,2019-08-02
22,Jul 26-Aug 1,,238105215,-36.3%,252143756,-35.5%,109,The Lion King,30,2019-07-26
23,Jul 19-25,,374083483,+107.4%,391079975,+93.7%,113,The Lion King,29,2019-07-19
24,Jul 12-18,,180362048,-32.2%,201907706,-28.3%,117,Spider-Man: Far from Home,28,2019-07-12
25,Jul 5-11,,265976643,-11.7%,281598399,-14.8%,109,Spider-Man: Far from Home,27,2019-07-05
26,Jun 28-Jul 4,,301168197,+4%,330476970,+4.4%,107,Toy Story 4,26,2019-06-28
27,Jun 21-27,,289503923,+55.5%,316524656,+54.2%,110,Toy Story 4,25,2019-06-21
28,Jun 14-20,,186197546,-19.2%,205279222,-15.1%,114,Men in Black: International,24,2019-06-14
29,Jun 7-13,,230500786,-3.9%,241798277,-3.7%,124,The Secret Life of Pets 2,23,2019-06-07
30,May 31-Jun 6,,239911356,-11.2%,251058341,-11.5%,116,Aladdin,22,2019-05-31
31,May 24-30,,270055207,+41.9%,283652332,+39.4%,121,Aladdin,21,2019-05-24
32,May 17-23,,190276031,-8.4%,203520860,-7.3%,120,John Wick: Chapter 3 - Parabellum,20,2019-05-17
33,May 10-16,,207635630,-16.3%,219497995,-14.8%,118,Avengers: Endgame,19,2019-05-10
34,May 3-9,,247952421,-52.9%,257703964,-52%,126,Avengers: Endgame,18,2019-05-03
35,Apr 26-May 2,,526831980,+303.8%,536411266,+254.6%,126,Avengers: Endgame,17,2019-04-26
36,Apr 19-25,,130479157,-7.4%,151266279,-6.6%,140,The Curse of La Llorona,16,2019-04-19
37,Apr 12-18,,140924249,-21.1%,161993933,-15.9%,133,Shazam!,15,2019-04-12
38,Apr 5-11,,178674464,+4.3%,192530861,+4.5%,128,Shazam!,14,2019-04-05
39,Mar 29-Apr 4,,171320496,-9.6%,184191955,-9.8%,141,Dumbo,13,2019-03-29
40,Mar 22-28,,189488269,+12.8%,204114622,+8.6%,127,Us,12,2019-03-22
41,Mar 15-21,,168013234,-35.8%,187942023,-33.1%,129,Captain Marvel,11,2019-03-15
42,Mar 8-14,,261577719,+115.9%,281109887,+85.6%,116,Captain Marvel,10,2019-03-08
43,Mar 1-7,,121138709,-13.9%,151459712,-8.3%,111,How to Train Your Dragon: The Hidden World,9,2019-03-01
44,Feb 22-28,,140742743,-6.7%,165159850,-10.1%,99,How to Train Your Dragon: The Hidden World,8,2019-02-22
45,Feb 15-21,,150793114,+13.7%,183674228,+5.8%,107,Alita: Battle Angel,7,2019-02-15
46,Feb 8-14,,132570757,+89.4%,173677594,+70.4%,108,The Lego Movie 2: The Second Part,6,2019-02-08
47,Feb 1-7,,69985273,-28.1%,101933532,-26%,94,Glass,5,2019-02-01
48,Jan 25-31,,97386320,-39.2%,137684269,-29.8%,93,Glass,4,2019-01-25
49,Jan 18-24,,160272512,+17%,196159206,+12.5%,92,Glass,3,2019-01-18
50,Jan 11-17,,137036122,-14%,174387441,-8.1%,92,The Upside,2,2019-01-11
51,Jan 4-10,,159383048,-47.1%,189701458,-44.8%,98,Aquaman,1,2019-01-04
