,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 29-Jan 4, 2018",,300881692,-29%,338477578,-27.6%,79,Jumanji: Welcome to the Jungle,52,2017-12-29
1,Dec 22-28,,423670362,+10.6%,467332600,+14.4%,79,Star Wars: Episode VIII - The Last Jedi,51,2017-12-22
2,Dec 15-21,,382968772,+303.1%,408585324,+255.4%,86,Star Wars: Episode VIII - The Last Jedi,50,2017-12-15
3,Dec 8-14,,94995347,-25.7%,114954459,-18%,108,Coco,49,2017-12-08
4,Dec 1-7,,127798857,-41.7%,140246350,-40%,123,Coco,48,2017-12-01
5,Nov 24-30,,219075893,-30.5%,233588047,-28.9%,116,Coco,47,2017-11-24
6,Nov 17-23,,315310226,+81%,328730983,+68.6%,115,Justice League,46,2017-11-17
7,Nov 10-16,,174174745,-18.1%,194963666,-17.7%,136,Thor: Ragnarok,45,2017-11-10
8,Nov 3-9,,212660354,+170.5%,236868261,+116.2%,139,Thor: Ragnarok,44,2017-11-03
9,Oct 27-Nov 2,,78627030,-21.7%,109543154,-14.8%,144,Jigsaw,43,2017-10-27
10,Oct 20-26,,100470457,-13%,128545990,-2.6%,142,Boo 2! A Madea Halloween,42,2017-10-20
11,Oct 13-19,,115420822,-15.3%,131950497,-11.5%,146,Happy Death Day,41,2017-10-13
12,Oct 6-12,,136220939,+31.7%,149160302,+24.2%,143,Blade Runner 2049,40,2017-10-06
13,Sep 29-Oct 5,,103429957,-24.7%,120143224,-21.4%,144,American Made,39,2017-09-29
14,Sep 22-28,,137416039,+2.7%,152942112,+3%,141,Kingsman: The Golden Circle,38,2017-09-22
15,Sep 15-21,,133837531,-32.9%,148499678,-31.4%,148,It,37,2017-09-15
16,Sep 8-14,,199506124,+181.9%,216627670,+92.4%,145,It,36,2017-09-08
17,Sep 1-7,,70774174,+4.7%,112587233,+10.9%,132,The Hitman's Bodyguard,35,2017-09-01
18,Aug 25-31,,67568343,-37.4%,101552490,-26.9%,133,The Hitman's Bodyguard,34,2017-08-25
19,Aug 18-24,,107985954,-22.7%,138860067,-19.8%,129,The Hitman's Bodyguard,33,2017-08-18
20,Aug 11-17,,139713151,-11.8%,173131832,-6.2%,130,Annabelle: Creation,32,2017-08-11
21,Aug 4-10,,158461111,-22.5%,184482439,-16.5%,113,The Dark Tower,31,2017-08-04
22,Jul 28-Aug 3,,204439850,-21.7%,221011063,-19.3%,122,Dunkirk,30,2017-07-28
23,Jul 21-27,,260932805,+12.8%,273985088,+12.7%,118,Dunkirk,29,2017-07-21
24,Jul 14-20,,231379299,-20.4%,243096748,-20%,114,War for the Planet of the Apes,28,2017-07-14
25,Jul 7-13,,290710500,+12.2%,303727567,+8%,111,Spider-Man: Homecoming,27,2017-07-07
26,Jun 30-Jul 6,,259130961,+33.3%,281182034,+30.8%,109,Despicable Me 3,26,2017-06-30
27,Jun 23-29,,194423904,-28.2%,214916215,-26.6%,120,Transformers: The Last Knight,25,2017-06-23
28,Jun 16-22,,270857018,+35.4%,292680893,+38.7%,119,Cars 3,24,2017-06-16
29,Jun 9-15,,200098913,-22.1%,211071505,-21.4%,111,Wonder Woman,23,2017-06-09
30,Jun 2-8,,257016845,+25.6%,268380107,+22.8%,118,Wonder Woman,22,2017-06-02
31,May 26-Jun 1,,204615474,+31.3%,218533507,+25.9%,115,Pirates of the Caribbean: Dead Men Tell No Tales,21,2017-05-26
32,May 19-25,,155812824,-2.7%,173512782,-1.4%,123,Alien: Covenant,20,2017-05-19
33,May 12-18,,160091852,-31.2%,176042644,-29.2%,123,Guardians of the Galaxy Vol. 2,19,2017-05-12
34,May 5-11,,232845232,+126.6%,248475475,+91.9%,117,Guardians of the Galaxy Vol. 2,18,2017-05-05
35,Apr 28-May 4,,102775494,-12.1%,129454379,-8.1%,118,The Fate of the Furious,17,2017-04-28
36,Apr 21-27,,116914535,-44.1%,140940360,-38.3%,120,The Fate of the Furious,16,2017-04-21
37,Apr 14-20,,209224835,+38.6%,228479867,+32.4%,116,The Fate of the Furious,15,2017-04-14
38,Apr 7-13,,150992825,-28.4%,172540812,-22.4%,114,The Boss Baby,14,2017-04-07
39,Mar 31-Apr 6,,210753353,-17.3%,222360225,-17%,111,The Boss Baby,13,2017-03-31
40,Mar 24-30,,254888561,-24.2%,267856889,-23.2%,107,Beauty and the Beast,12,2017-03-24
41,Mar 17-23,,336315430,+63.5%,348996112,+53.3%,111,Beauty and the Beast,11,2017-03-17
42,Mar 10-16,,205667563,-7.6%,227604378,-10%,114,Kong: Skull Island,10,2017-03-10
43,Mar 3-9,,222698213,+57.2%,252960428,+49.6%,108,Logan,9,2017-03-03
44,Feb 24-Mar 2,,141705398,-24.2%,169125603,-23.9%,88,Get Out,8,2017-02-24
45,Feb 17-23,,186990395,-20.5%,222117063,-14.8%,90,The Lego Batman Movie,7,2017-02-17
46,Feb 10-16,,235189400,+137.5%,260606517,+97.9%,96,Fifty Shades Darker,6,2017-02-10
47,Feb 3-9,,99044614,-30.6%,131654279,-28.4%,105,Split,5,2017-02-03
48,Jan 27-Feb 2,,142754460,-9.9%,183789954,-5.3%,103,Split,4,2017-01-27
49,Jan 20-26,,158473129,-8.7%,193994143,-11.6%,102,Split,3,2017-01-20
50,Jan 13-19,,173560332,+4.5%,219559431,+14.8%,86,Hidden Figures,2,2017-01-13
51,Jan 6-12,,166028358,-40%,191327544,-38.5%,95,Hidden Figures,1,2017-01-06
