,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 30-Jan 5, 2023",,174584090,-27.9%,176585127,-28.4%,47,Avatar: The Way of Water,52,2022-12-30
1,Dec 23-29,,242130042,+4%,246487640,+4.3%,50,Avatar: The Way of Water,51,2022-12-23
2,Dec 16-22,,232765223,+414.8%,236324722,+359.4%,47,Avatar: The Way of Water,50,2022-12-16
3,Dec 9-15,,45214764,-31%,51441972,-28.4%,58,Black Panther: Wakanda Forever,49,2022-12-09
4,Dec 2-8,,65533485,-39.4%,71808894,-37.2%,59,Black Panther: Wakanda Forever,48,2022-12-02
5,Nov 25-Dec 1,,108155850,-31.7%,114262463,-31.5%,49,Black Panther: Wakanda Forever,47,2022-11-25
6,Nov 18-24,,158366183,-37.4%,166806980,-34.9%,54,Black Panther: Wakanda Forever,46,2022-11-18
7,Nov 11-17,,252999294,+255%,256405792,+228.4%,54,Black Panther: Wakanda Forever,45,2022-11-11
8,Nov 4-10,,71262866,-17.4%,78067175,-15.1%,59,Black Adam,44,2022-11-04
9,Oct 28-Nov 3,,86294773,-39.4%,91912422,-37.5%,61,Black Adam,43,2022-10-28
10,Oct 21-27,,142445560,+56.8%,147141895,+53.2%,61,Black Adam,42,2022-10-21
11,Oct 14-20,,90872745,+19.7%,96016976,+14.9%,58,Halloween Ends,41,2022-10-14
12,Oct 7-13,,75925936,-2.2%,83589769,-5.4%,62,Smile,40,2022-10-07
13,Sep 30-Oct 6,,77608975,+4.3%,88355691,+5.4%,73,Smile,39,2022-09-30
14,Sep 23-29,,74377392,+28%,83857157,+17.9%,77,Don't Worry Darling,38,2022-09-23
15,Sep 16-22,,58104893,+27%,71121269,+21.2%,76,The Woman King,37,2022-09-16
16,Sep 9-15,,45753332,-25.6%,58690664,-29.4%,73,Barbarian,36,2022-09-09
17,Sep 2-8,,61477939,+7.5%,83133673,+15.2%,66,Top Gun: Maverick,35,2022-09-02
18,Aug 26-Sep 1,,57167640,-40%,72138144,-33.9%,63,The Invitation,34,2022-08-26
19,Aug 19-25,,95247181,+13.5%,109212416,+10.2%,61,Dragon Ball Super: Super Hero,33,2022-08-19
20,Aug 12-18,,83895113,-35.7%,99088597,-27.6%,63,Bullet Train,32,2022-08-12
21,Aug 5-11,,130463673,-9.9%,136951704,-9.5%,50,Bullet Train,31,2022-08-05
22,Jul 29-Aug 4,,144821635,-23.9%,151253578,-22%,53,DC League of Super-Pets,30,2022-07-29
23,Jul 22-28,,190271137,-6.3%,193908187,-5.7%,57,Nope,29,2022-07-22
24,Jul 15-21,,203094384,-39%,205656619,-38.6%,57,Thor: Love and Thunder,28,2022-07-15
25,Jul 8-14,,332866662,+11.3%,334746945,+11.1%,57,Thor: Love and Thunder,27,2022-07-08
26,Jul 1-7,,299005969,+46.5%,301253959,+46.1%,52,Minions: The Rise of Gru,26,2022-07-01
27,Jun 24-30,,204160240,-14.7%,206132038,-14.6%,55,Elvis,25,2022-06-24
28,Jun 17-23,,239467070,-18.5%,241502854,-18.8%,58,Jurassic World Dominion,24,2022-06-17
29,Jun 10-16,,293808398,+63.1%,297265363,+60.5%,58,Jurassic World Dominion,23,2022-06-10
30,Jun 3-9,,180149969,-35.6%,185212388,-34.8%,64,Top Gun: Maverick,22,2022-06-03
31,May 27-Jun 2,,279870156,+202.6%,284229658,+189.7%,57,Top Gun: Maverick,21,2022-05-27
32,May 20-26,,92498464,-20.7%,98113709,-18.6%,57,Doctor Strange in the Multiverse of Madness,20,2022-05-20
33,May 13-19,,116653465,-57.5%,120475480,-56.5%,51,Doctor Strange in the Multiverse of Madness,19,2022-05-13
34,May 6-12,,274222047,+238.2%,277112562,+219.7%,53,Doctor Strange in the Multiverse of Madness,18,2022-05-06
35,Apr 29-May 5,,81094055,-30.2%,86689695,-28.3%,53,The Bad Guys,17,2022-04-29
36,Apr 22-28,,116142835,-18.8%,120952706,-16.6%,51,The Bad Guys,16,2022-04-22
37,Apr 15-21,,143110499,-6.4%,145065068,-6.9%,47,Fantastic Beasts: The Secrets of Dumbledore,15,2022-04-15
38,Apr 8-14,,152927000,+51.6%,155777728,+48.2%,52,Sonic the Hedgehog 2,14,2022-04-08
39,Apr 1-7,,100842439,-0.4%,105100204,-1.5%,55,Morbius,13,2022-04-01
40,Mar 25-31,,101249416,-4.5%,106734194,-4.4%,61,The Lost City,12,2022-03-25
41,Mar 18-24,,105976322,-21.9%,111626141,-20.2%,62,The Batman,11,2022-03-18
42,Mar 11-17,,135658174,-36.3%,139863064,-35.3%,52,The Batman,10,2022-03-11
43,Mar 4-10,,212814844,+196.8%,216125188,+170.2%,52,The Batman,9,2022-03-04
44,Feb 25-Mar 3,,71694192,-43.4%,79992208,-40.2%,53,Uncharted,8,2022-02-25
45,Feb 18-24,,126706188,+66.9%,133721393,+64.7%,58,Uncharted,7,2022-02-18
46,Feb 11-17,,75915251,+6.4%,81194788,+5.4%,54,Death on the Nile,6,2022-02-11
47,Feb 4-10,,71334671,+76.5%,77019839,+65.8%,56,Jackass Forever,5,2022-02-04
48,Jan 28-Feb 3,,40405732,-26.6%,46449926,-23.5%,48,Spider-Man: No Way Home,4,2022-01-28
49,Jan 21-27,,55074903,-42.1%,60746879,-39.2%,48,Spider-Man: No Way Home,3,2022-01-21
50,Jan 14-20,,95085447,+21.2%,99933491,+20.8%,44,Scream,2,2022-01-14
51,Jan 7-13,,78462189,-41.2%,82739591,-40%,37,Spider-Man: No Way Home,1,2022-01-07
