,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,Dec 25-31,,483986309,-1.3%,528565948,+3.1%,80,Star Wars: Episode VII - The Force Awakens,52,2015-12-25
1,Dec 18-24,,490576052,+445.5%,512582385,+386%,85,Star Wars: Episode VII - The Force Awakens,51,2015-12-18
2,Dec 11-17,,89925521,-20.3%,105472167,-18%,99,The Hunger Games: Mockingjay - Part 2,50,2015-12-11
3,Dec 4-10,,112860146,-44.1%,128585893,-41.8%,104,The Hunger Games: Mockingjay - Part 2,49,2015-12-04
4,Nov 27-Dec 3,,201938909,-23.4%,221009228,-23.1%,104,The Hunger Games: Mockingjay - Part 2,48,2015-11-27
5,Nov 20-26,,263741064,+123.9%,287462185,+108.9%,112,The Hunger Games: Mockingjay - Part 2,47,2015-11-20
6,Nov 13-19,,117791221,-41.8%,137611030,-38.1%,124,Spectre,46,2015-11-13
7,Nov 6-12,,202397173,+154.7%,222330376,+117.4%,128,Spectre,45,2015-11-06
8,Oct 30-Nov 5,,79468121,-31.9%,102245901,-26.1%,116,The Martian,44,2015-10-30
9,Oct 23-29,,116646326,-16.6%,138324130,-13.2%,119,The Martian,43,2015-10-23
10,Oct 16-22,,139802739,-4.3%,159339684,-2.6%,123,Goosebumps,42,2015-10-16
11,Oct 9-15,,146051549,-18.9%,163510725,-15.8%,131,The Martian,41,2015-10-09
12,Oct 2-8,,180160486,+12%,194094453,+9%,134,The Martian,40,2015-10-02
13,Sep 25-Oct 1,,160912186,+28.4%,178104358,+20.4%,132,Hotel Transylvania 2,39,2015-09-25
14,Sep 18-24,,125278039,+22.3%,147971889,+13.8%,123,Maze Runner: The Scorch Trials,38,2015-09-18
15,Sep 11-17,,102460582,+14.3%,130021845,-3.9%,116,The Perfect Guy,37,2015-09-11
16,Sep 4-10,,89655180,+3.3%,135308637,+9.5%,106,War Room,36,2015-09-04
17,Aug 28-Sep 3,,86781228,-26.5%,123514184,-18.2%,109,Straight Outta Compton,35,2015-08-28
18,Aug 21-27,,118033861,-37.2%,151043437,-30.5%,112,Straight Outta Compton,34,2015-08-21
19,Aug 14-20,,188060304,+12.8%,217243616,+9.7%,107,Straight Outta Compton,33,2015-08-14
20,Aug 7-13,,166668244,-19.4%,197998776,-13.2%,109,Mission: Impossible - Rogue Nation,32,2015-08-07
21,Jul 31-Aug 6,,206831051,-2.3%,228033383,-2.7%,107,Mission: Impossible - Rogue Nation,31,2015-07-31
22,Jul 24-30,,211623059,-19.6%,234284409,-18.6%,109,Ant-Man,30,2015-07-24
23,Jul 17-23,,263226406,-11.9%,287718827,-9.3%,111,Ant-Man,29,2015-07-17
24,Jul 10-16,,298663190,+45.2%,317115561,+44.6%,111,Minions,28,2015-07-10
25,Jul 3-9,,205642362,-28.6%,219271846,-29%,109,Inside Out,27,2015-07-03
26,Jun 26-Jul 2,,287936011,-16.5%,308982327,-13.9%,113,Inside Out,26,2015-06-26
27,Jun 19-25,,344772333,-9.6%,359026887,-8.8%,106,Jurassic World,25,2015-06-19
28,Jun 12-18,,381394152,+120.5%,393685383,+109.1%,103,Jurassic World,24,2015-06-12
29,Jun 5-11,,172965617,-6.5%,188236012,-4.7%,106,Spy,23,2015-06-05
30,May 29-Jun 4,,185007929,-14.2%,197581693,-14.6%,102,San Andreas,22,2015-05-29
31,May 22-28,,215620717,-6%,231396990,-4%,109,Tomorrowland,21,2015-05-22
32,May 15-21,,229442324,+50.9%,240944976,+43.1%,110,Pitch Perfect 2,20,2015-05-15
33,May 8-14,,152015224,-45.6%,168341793,-42.5%,105,Avengers: Age of Ultron,19,2015-05-08
34,May 1-7,,279355345,+183.4%,292973658,+141.8%,119,Avengers: Age of Ultron,18,2015-05-01
35,Apr 24-30,,98576762,-28.4%,121168729,-21.1%,126,Furious 7,17,2015-04-24
36,Apr 17-23,,137709352,-10.9%,153661866,-7.3%,128,Furious 7,16,2015-04-17
37,Apr 10-16,,154534173,-48.1%,165748533,-46.6%,116,Furious 7,15,2015-04-10
38,Apr 3-9,,297674716,+58.4%,310171232,+52.7%,113,Furious 7,14,2015-04-03
39,Mar 27-Apr 2,,187867298,+24.4%,203140997,+19.3%,105,Home,13,2015-03-27
40,Mar 20-26,,150960533,-1.9%,170340262,-3.5%,109,The Divergent Series: Insurgent,12,2015-03-20
41,Mar 13-19,,153927894,+57.6%,176458901,+45%,108,Cinderella,11,2015-03-13
42,Mar 6-12,,97655510,-14.5%,121657937,-11.6%,111,Chappie,10,2015-03-06
43,Feb 27-Mar 5,,114282869,-14.9%,137546307,-11.7%,108,Focus,9,2015-02-27
44,Feb 20-26,,134348130,-49.2%,155693517,-46.5%,106,Fifty Shades of Grey,8,2015-02-20
45,Feb 13-19,,264466422,+63.7%,291159331,+55.1%,102,Fifty Shades of Grey,7,2015-02-13
46,Feb 6-12,,161550818,+52.5%,187711999,+37.6%,104,The SpongeBob Movie: Sponge Out of Water,6,2015-02-06
47,Jan 30-Feb 5,,105952246,-38.1%,136462275,-32.7%,105,American Sniper,5,2015-01-30
48,Jan 23-29,,171072262,-34.8%,202836555,-32.2%,109,American Sniper,4,2015-01-23
49,Jan 16-22,,262550545,+94.7%,299050139,+80.6%,103,American Sniper,3,2015-01-16
50,Jan 9-15,,134822729,-15.1%,165590418,-16.2%,102,Taken 3,2,2015-01-09
51,Jan 2-8,,158783825,-52%,197541369,-49.5%,101,The Hobbit: The Battle of the Five Armies,1,2015-01-02
