,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 27-Jan 2, 1997",,163026099,+21.6%,199915325,+28.3%,22,Michael,52,1996-12-27
1,Dec 20-26,,134036944,+65.3%,155876518,+92%,25,Beavis and Butt-Head Do America,51,1996-12-20
2,Dec 13-19,,81064311,+22.4%,81172715,+22.5%,15,Jerry Maguire,50,1996-12-13
3,Dec 6-12,,66233533,-46.8%,66275697,-47%,12,101 Dalmatians,49,1996-12-06
4,Nov 29-Dec 5,,124595030,-12.6%,124996468,-13.3%,15,101 Dalmatians,48,1996-11-29
5,Nov 22-28,,142540112,+46.1%,144242421,+47.8%,18,Star Trek: First Contact,47,1996-11-22
6,Nov 15-21,,97574972,+11.8%,97610650,+11.7%,13,Space Jam,46,1996-11-15
7,Nov 8-14,,87298389,+44.2%,87356239,+32.6%,14,Ransom,45,1996-11-08
8,Nov 1-7,,60558219,+5.2%,65854815,+10.8%,18,Romeo + Juliet,44,1996-11-01
9,Oct 25-31,,57581602,-6.6%,59444387,-3.9%,18,Sleepers,43,1996-10-25
10,Oct 18-24,,61655904,-8.6%,61880335,-11%,13,Sleepers,42,1996-10-18
11,Oct 11-17,,67465604,+20.4%,69538403,+21.3%,19,The Ghost and the Darkness,41,1996-10-11
12,Oct 4-10,,56049329,+5.9%,57324838,+7.7%,18,The First Wives Club,40,1996-10-04
13,Sep 27-Oct 3,,52948811,-9.5%,53222050,-13%,14,The First Wives Club,39,1996-09-27
14,Sep 20-26,,58481844,+39.5%,61184904,+28.8%,17,The First Wives Club,38,1996-09-20
15,Sep 13-19,,41923930,-5%,47517196,-2.4%,19,Maximum Risk,37,1996-09-13
16,Sep 6-12,,44149112,-37.3%,48710407,-33.7%,15,Bulletproof,36,1996-09-06
17,Aug 30-Sep 5,,70382134,-3.6%,73484601,-19.3%,13,The Crow: City of Angels,35,1996-08-30
18,Aug 23-29,,73036165,-10.9%,91030728,-3%,23,Tin Cup,34,1996-08-23
19,Aug 16-22,,81970769,-13.2%,93862434,-11.7%,19,Tin Cup,33,1996-08-16
20,Aug 9-15,,94406028,-3%,106326657,+4.9%,22,Jack,32,1996-08-09
21,Aug 2-8,,97285991,-7.8%,101404107,-23.1%,17,A Time to Kill,31,1996-08-02
22,Jul 26-Aug 1,,105501460,-4.7%,131811636,+4.1%,23,A Time to Kill,30,1996-07-26
23,Jul 19-25,,110699784,-27.2%,126623705,-19.7%,18,Independence Day,29,1996-07-19
24,Jul 12-18,,151985117,-17.3%,157729544,-15.8%,14,Independence Day,28,1996-07-12
25,Jul 5-11,,183729788,-8.9%,187366431,-8.5%,13,Independence Day,27,1996-07-05
26,Jun 28-Jul 4,,201693362,+48.4%,204802926,+50.7%,12,Independence Day,26,1996-06-28
27,Jun 21-27,,135894368,+26.1%,135921466,+25.2%,11,Eraser,25,1996-06-21
28,Jun 14-20,,107796653,-2.5%,108558682,-2.7%,12,The Cable Guy,24,1996-06-14
29,Jun 7-13,,110600161,+5.8%,111571351,+6.7%,13,The Rock,23,1996-06-07
30,May 31-Jun 6,,104532012,-26.7%,104539457,-26.7%,12,Mission: Impossible,22,1996-05-31
31,May 24-30,,142697845,+58.1%,142699591,+58%,11,Mission: Impossible,21,1996-05-24
32,May 17-23,,90283146,+12.6%,90302734,+12.6%,13,Twister,20,1996-05-17
33,May 10-16,,80203332,+73.5%,80228685,+73.4%,13,Twister,19,1996-05-10
34,May 3-9,,46220142,-12.7%,46257988,-14.9%,12,The Craft,18,1996-05-03
35,Apr 26-May 2,,52944247,+0.5%,54342419,+2.8%,16,The Quest,17,1996-04-26
36,Apr 19-25,,52670808,-16.6%,52869290,-18.4%,14,Primal Fear,16,1996-04-19
37,Apr 12-18,,63151599,-12.2%,64767570,-14.6%,15,Primal Fear,15,1996-04-12
38,Apr 5-11,,71921189,+17.3%,75810863,+10.5%,15,Primal Fear,14,1996-04-05
39,Mar 29-Apr 4,,61301535,+0.8%,68580096,+5.8%,20,The Birdcage,13,1996-03-29
40,Mar 22-28,,60820757,-13.1%,64791713,-13%,18,The Birdcage,12,1996-03-22
41,Mar 15-21,,69987353,-13.7%,74502306,-16.2%,18,The Birdcage,11,1996-03-15
42,Mar 8-14,,81114259,+25.4%,88883387,+33.9%,19,The Birdcage,10,1996-03-08
43,Mar 1-7,,64670682,-0.2%,66370158,-15.5%,13,Up Close & Personal,9,1996-03-01
44,Feb 23-29,,64805352,-23.4%,78586733,-19.4%,19,Rumble in the Bronx,8,1996-02-23
45,Feb 16-22,,84653310,+28.1%,97452350,+32.2%,19,Broken Arrow,7,1996-02-16
46,Feb 9-15,,66062294,+6.9%,73731291,+3.4%,18,Broken Arrow,6,1996-02-09
47,Feb 2-8,,61771908,+17.8%,71285672,+10.9%,15,Black Sheep,5,1996-02-02
48,Jan 26-Feb 1,,52454387,-24.7%,64279304,-33.3%,16,Mr. Holland's Opus,4,1996-01-26
49,Jan 19-25,,69691630,-19.8%,96426802,-14.5%,20,From Dusk Till Dawn,3,1996-01-19
50,Jan 12-18,,86848824,+5.6%,112717850,+24.7%,19,12 Monkeys,2,1996-01-12
51,Jan 5-11,,82249504,-40.4%,90409724,-45.7%,13,12 Monkeys,1,1996-01-05
