,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 30-Jan 5, 2017",,276755601,-35%,311003351,-33.6%,85,Rogue One: A Star Wars Story,53,2016-12-30
1,Dec 23-29,,425787155,+30.1%,468076682,+33%,98,Rogue One: A Star Wars Story,52,2016-12-23
2,Dec 16-22,,327391706,+237.3%,351825485,+209.9%,112,Rogue One: A Star Wars Story,51,2016-12-16
3,Dec 9-15,,97054247,-10.3%,113543682,-9.2%,125,Moana,50,2016-12-09
4,Dec 2-8,,108153495,-47.5%,125024701,-44.3%,141,Moana,49,2016-12-02
5,Nov 25-Dec 1,,206096604,-16.6%,224632572,-17.7%,131,Moana,48,2016-11-25
6,Nov 18-24,,246995267,+36%,272804552,+37.7%,136,Fantastic Beasts and Where to Find Them,47,2016-11-18
7,Nov 11-17,,181563018,-23.1%,198097131,-21.3%,139,Doctor Strange,46,2016-11-11
8,Nov 4-10,,236056509,+136.1%,251689176,+109.3%,133,Doctor Strange,45,2016-11-04
9,Oct 28-Nov 3,,99997914,-29.4%,120277440,-26.4%,131,Boo! A Madea Halloween,44,2016-10-28
10,Oct 21-27,,141663312,+25.3%,163330723,+23.3%,137,Boo! A Madea Halloween,43,2016-10-21
11,Oct 14-20,,113024865,-13.6%,132518142,-10.4%,140,The Accountant,42,2016-10-14
12,Oct 7-13,,130863569,-1.5%,147944082,-1.6%,143,The Girl on the Train,41,2016-10-07
13,Sep 30-Oct 6,,132901713,+10%,150273974,+10.2%,151,Miss Peregrine's Home for Peculiar Children,40,2016-09-30
14,Sep 23-29,,120828346,+27.3%,136363465,+11.9%,145,The Magnificent Seven,39,2016-09-23
15,Sep 16-22,,94941085,-10.7%,121858383,-9.4%,145,Sully,38,2016-09-16
16,Sep 9-15,,106356361,+6.4%,134442104,-10.1%,134,Sully,37,2016-09-09
17,Sep 2-8,,99986588,-20.5%,149628708,-9.2%,117,Don't Breathe,36,2016-09-02
18,Aug 26-Sep 1,,125815574,-20.6%,164705279,-12%,123,Don't Breathe,35,2016-08-26
19,Aug 19-25,,158392118,-29.9%,187165556,-26.3%,117,Suicide Squad,34,2016-08-19
20,Aug 12-18,,225808846,-27.5%,254073490,-23%,119,Suicide Squad,33,2016-08-12
21,Aug 5-11,,311633928,+19.7%,329772931,+16.1%,113,Suicide Squad,32,2016-08-05
22,Jul 29-Aug 4,,260357510,-1.3%,283985335,-4.5%,118,Jason Bourne,31,2016-07-29
23,Jul 22-28,,263801214,+15.4%,297489688,+19.7%,127,Star Trek Beyond,30,2016-07-22
24,Jul 15-21,,228684954,-24.9%,248477598,-23.3%,123,The Secret Life of Pets,29,2016-07-15
25,Jul 8-14,,304656108,+4.5%,323895350,+4.2%,116,The Secret Life of Pets,28,2016-07-08
26,Jul 1-7,,291553354,+7.1%,310795591,+6.7%,118,Finding Dory,27,2016-07-01
27,Jun 24-30,,272137537,-21.3%,291415238,-19.4%,121,Finding Dory,26,2016-06-24
28,Jun 17-23,,345659071,+74.2%,361778568,+65.4%,117,Finding Dory,25,2016-06-17
29,Jun 10-16,,198378169,+14%,218751484,+14.9%,119,The Conjuring 2,24,2016-06-10
30,Jun 3-9,,174025875,-26.3%,190377155,-23.1%,116,Teenage Mutant Ninja Turtles: Out of the Shadows,23,2016-06-03
31,May 27-Jun 2,,236011076,+39.8%,247632860,+36.5%,122,X-Men: Apocalypse,22,2016-05-27
32,May 20-26,,168833570,+6.8%,181470823,+7%,136,The Angry Birds Movie,21,2016-05-20
33,May 13-19,,158035135,-45.8%,169562436,-43.8%,128,Captain America: Civil War,20,2016-05-13
34,May 6-12,,291503831,+140.6%,301892803,+120.2%,126,Captain America: Civil War,19,2016-05-06
35,Apr 29-May 5,,121133026,-20.5%,137077341,-19.1%,126,The Jungle Book,18,2016-04-29
36,Apr 22-28,,152328345,-27.8%,169457225,-25.5%,131,The Jungle Book,17,2016-04-22
37,Apr 15-21,,210976113,+82.4%,227357903,+68.4%,133,The Jungle Book,16,2016-04-15
38,Apr 8-14,,115682844,-24.7%,135033390,-21.1%,123,The Boss,15,2016-04-08
39,Apr 1-7,,153564815,-52.8%,171163378,-49.6%,122,Batman v Superman: Dawn of Justice,14,2016-04-01
40,Mar 25-31,,325666509,+102.8%,339295945,+85%,116,Batman v Superman: Dawn of Justice,13,2016-03-25
41,Mar 18-24,,160619298,-1.1%,183382558,-3.9%,129,Zootopia,12,2016-03-18
42,Mar 11-17,,162361817,-10.9%,190782393,-8.4%,119,Zootopia,11,2016-03-11
43,Mar 4-10,,182230212,+53%,208317815,+41.1%,107,Zootopia,10,2016-03-04
44,Feb 26-Mar 3,,119143297,-24.4%,147646667,-20.5%,94,Deadpool,9,2016-02-26
45,Feb 19-25,,157561659,-46.8%,185742605,-43.7%,110,Deadpool,8,2016-02-19
46,Feb 12-18,,296080748,+200.8%,329793400,+160.4%,106,Deadpool,7,2016-02-12
47,Feb 5-11,,98437500,-33%,126658082,-27.7%,99,Kung Fu Panda 3,6,2016-02-05
48,Jan 29-Feb 4,,146877028,+13.6%,175098230,+11.8%,101,Kung Fu Panda 3,5,2016-01-29
49,Jan 22-28,,129331831,-37.1%,156607426,-34.4%,92,The Revenant,4,2016-01-22
50,Jan 15-21,,205683379,+7.7%,238871426,+11.8%,92,Ride Along 2,3,2016-01-15
51,Jan 8-14,,190991525,-26.7%,213602441,-26%,96,The Revenant,2,2016-01-08
52,Jan 1-7,,260670818,-46.1%,288654414,-45.4%,90,Star Wars: Episode VII - The Force Awakens,1,2016-01-01
