,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 29-Jan 4, 1990",,85710515,+9.4%,100691642,+6.6%,23,The War of the Roses,52,1989-12-29
1,Dec 22-28,,78378152,+58%,94493732,+62.2%,25,National Lampoon's Christmas Vacation,51,1989-12-22
2,Dec 15-21,,49599073,-10.3%,58248485,+1.2%,19,National Lampoon's Christmas Vacation,50,1989-12-15
3,Dec 8-14,,55284326,-8.4%,57540209,-7.5%,17,The War of the Roses,49,1989-12-08
4,Dec 1-7,,60385226,-34.9%,62185027,-34.6%,14,National Lampoon's Christmas Vacation,48,1989-12-01
5,Nov 24-30,,92791462,+4.6%,95084935,+0.9%,14,Back to the Future Part II,47,1989-11-24
6,Nov 17-23,,88683907,+118.4%,94254118,+89.3%,19,Harlem Nights,46,1989-11-17
7,Nov 10-16,,40608357,-7.1%,49798364,-2.4%,21,Look Who's Talking,45,1989-11-10
8,Nov 3-9,,43699832,+3.8%,51047014,+5.2%,19,Look Who's Talking,44,1989-11-03
9,Oct 27-Nov 2,,42102617,-14%,48540609,-9.5%,18,Look Who's Talking,43,1989-10-27
10,Oct 20-26,,48946885,+2.8%,53619969,+7%,15,Look Who's Talking,42,1989-10-20
11,Oct 13-19,,47609378,+26.5%,50095045,+14.8%,13,Look Who's Talking,41,1989-10-13
12,Oct 6-12,,37629471,+6.2%,43652818,+8.4%,17,Black Rain,40,1989-10-06
13,Sep 29-Oct 5,,35435419,-17.3%,40254625,-13%,16,Black Rain,39,1989-09-29
14,Sep 22-28,,42842389,+2.2%,46289971,+2.8%,17,Black Rain,38,1989-09-22
15,Sep 15-21,,41907170,+11%,45009158,-2.3%,17,Sea of Love,37,1989-09-15
16,Sep 8-14,,37758245,-31.3%,46091184,-33.1%,16,Uncle Buck,36,1989-09-08
17,Sep 1-7,,54956910,-0.2%,68891366,-5.7%,19,Uncle Buck,35,1989-09-01
18,Aug 25-31,,55049891,-32.9%,73067428,-26.4%,25,Uncle Buck,34,1989-08-25
19,Aug 18-24,,82101370,-11.9%,99241263,-5.3%,19,Uncle Buck,33,1989-08-18
20,Aug 11-17,,93190565,+2.4%,104746010,+1.1%,16,The Abyss,32,1989-08-11
21,Aug 4-10,,91014325,-3.5%,103627461,-7.3%,18,Parenthood,31,1989-08-04
22,Jul 28-Aug 3,,94280925,-2.6%,111741247,+1.7%,20,Turner & Hooch,30,1989-07-28
23,Jul 21-27,,96794016,-19.2%,109887704,-15.5%,14,Lethal Weapon 2,29,1989-07-21
24,Jul 14-20,,119862554,-6%,130019472,-1.2%,14,Lethal Weapon 2,28,1989-07-14
25,Jul 7-13,,127503453,-17.3%,131550115,-16.7%,13,Lethal Weapon 2,27,1989-07-07
26,Jun 30-Jul 6,,154090126,+2.8%,157874113,+4%,13,Batman,26,1989-06-30
27,Jun 23-29,,149895614,+43.4%,151854136,+40.6%,13,Batman,25,1989-06-23
28,Jun 16-22,,104537856,+23.8%,107993144,+23.5%,14,Ghostbusters II,24,1989-06-16
29,Jun 9-15,,84439289,+26.2%,87428417,+23.8%,13,Star Trek V: The Final Frontier,23,1989-06-09
30,Jun 2-8,,66931210,-19.4%,70607423,-16.6%,19,Indiana Jones and the Last Crusade,22,1989-06-02
31,May 26-Jun 1,,83012360,+78.4%,84648932,+64.1%,13,Indiana Jones and the Last Crusade,21,1989-05-26
32,May 19-25,,46519272,+18.5%,51569234,+22.5%,18,Indiana Jones and the Last Crusade,20,1989-05-19
33,May 12-18,,39272133,-2.5%,42113962,-2.3%,13,"See No Evil, Hear No Evil",19,1989-05-12
34,May 5-11,,40294721,-7.1%,43111514,-13.5%,14,Pet Sematary,18,1989-05-05
35,Apr 28-May 4,,43381664,-6.1%,49851884,-1.9%,20,Pet Sematary,17,1989-04-28
36,Apr 21-27,,46178009,+14.1%,50834099,+8.4%,18,Pet Sematary,16,1989-04-21
37,Apr 14-20,,40482817,-3.1%,46911645,+2.3%,19,Major League,15,1989-04-14
38,Apr 7-13,,41787043,+25.2%,45870928,+12.5%,16,Major League,14,1989-04-07
39,Mar 31-Apr 6,,33365894,-23%,40774286,-26.1%,17,Rain Man,13,1989-03-31
40,Mar 24-30,,43324831,-13.3%,55157009,-7.6%,18,Fletch Lives,12,1989-03-24
41,Mar 17-23,,49997052,+24.3%,59692792,+20.7%,18,Fletch Lives,11,1989-03-17
42,Mar 10-16,,40230730,+0.3%,49464455,-2.8%,18,Lean on Me,10,1989-03-10
43,Mar 3-9,,40108143,+0.3%,50866726,+7.6%,20,Lean on Me,9,1989-03-03
44,Feb 24-Mar 2,,39982091,-30.8%,47290371,-35.2%,17,The 'Burbs,8,1989-02-24
45,Feb 17-23,,57748014,+22.9%,72923285,+33.8%,18,The 'Burbs,7,1989-02-17
46,Feb 10-16,,46999864,+5%,54504479,+11.4%,14,The Fly II,6,1989-02-10
47,Feb 3-9,,44757052,-8.5%,48941882,-6.5%,13,Rain Man,5,1989-02-03
48,Jan 27-Feb 2,,48916179,+9.1%,52354727,+0.6%,15,Rain Man,4,1989-01-27
49,Jan 20-26,,44835962,-30.3%,52024823,-31.8%,18,Rain Man,3,1989-01-20
50,Jan 13-19,,64357265,+10.1%,76286086,+21.8%,18,Rain Man,2,1989-01-13
51,Jan 6-12,,58447696,-29.9%,62648304,-30.2%,17,Rain Man,1,1989-01-06
