,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 28-Jan 3, 1991",,134902635,+28.7%,157095225,+26.6%,24,Home Alone,52,1990-12-28
1,Dec 21-27,,104815327,+60.7%,124130058,+79.2%,24,Home Alone,51,1990-12-21
2,Dec 14-20,,65233266,+14.4%,69256889,+18.3%,14,Home Alone,50,1990-12-14
3,Dec 7-13,,57032830,-14%,58545111,-13.8%,14,Home Alone,49,1990-12-07
4,Nov 30-Dec 6,,66350958,-27.1%,67895455,-27.8%,13,Home Alone,48,1990-11-30
5,Nov 23-29,,91034878,+10.2%,93993161,+2.4%,15,Home Alone,47,1990-11-23
6,Nov 16-22,,82595152,+79.5%,91821130,+63.1%,19,Home Alone,46,1990-11-16
7,Nov 9-15,,46003969,+13.8%,56304229,+14.9%,18,Child's Play 2,45,1990-11-09
8,Nov 2-8,,40430791,+1.2%,48985930,+1.1%,18,Jacob's Ladder,44,1990-11-02
9,Oct 26-Nov 1,,39955544,-7.7%,48469962,-3.4%,18,Graveyard Shift,43,1990-10-26
10,Oct 19-25,,43295269,-7.9%,50151218,-1.2%,15,Marked for Death,42,1990-10-19
11,Oct 12-18,,47024123,-9.2%,50778360,-13.6%,17,Marked for Death,41,1990-10-12
12,Oct 5-11,,51784275,+19.8%,58756287,+30.7%,17,Marked for Death,40,1990-10-05
13,Sep 28-Oct 4,,43233236,-2.8%,44969031,-7.5%,13,Pacific Heights,39,1990-09-28
14,Sep 21-27,,44461530,+3.4%,48625682,+3.4%,17,Goodfellas,38,1990-09-21
15,Sep 14-20,,43006054,+22.7%,47028609,+7.9%,17,Postcards from the Edge,37,1990-09-14
16,Sep 7-13,,35058639,-34.8%,43570249,-37.8%,17,Ghost,36,1990-09-07
17,Aug 31-Sep 6,,53775652,-15.1%,70004304,-12.4%,19,Ghost,35,1990-08-31
18,Aug 24-30,,63355142,-24.6%,79950255,-22.1%,19,Darkman,34,1990-08-24
19,Aug 17-23,,83975422,-6.6%,102687527,-3.6%,18,Ghost,33,1990-08-17
20,Aug 10-16,,89954492,-10.7%,106574277,-7.3%,19,Flatliners,32,1990-08-10
21,Aug 3-9,,100708909,+1.6%,115012456,+3.4%,19,Ghost,31,1990-08-03
22,Jul 27-Aug 2,,99135576,+2.6%,111202518,-0.4%,18,Presumed Innocent,30,1990-07-27
23,Jul 20-26,,96649561,-7.6%,111657638,-7.9%,17,Ghost,29,1990-07-20
24,Jul 13-19,,104642477,-6.7%,121237747,+0.2%,16,Die Hard 2,28,1990-07-13
25,Jul 6-12,,112200026,+7.9%,121016538,+12.2%,13,Die Hard 2,27,1990-07-06
26,Jun 29-Jul 5,,103991867,+3.5%,107900981,+5.1%,12,Days of Thunder,26,1990-06-29
27,Jun 22-28,,100445326,-4%,102680619,-3.5%,13,Dick Tracy,25,1990-06-22
28,Jun 15-21,,104594765,+29.4%,106368451,+31.6%,12,Dick Tracy,24,1990-06-15
29,Jun 8-14,,80802932,+2.4%,80802932,+2.4%,10,Another 48 Hrs.,23,1990-06-08
30,Jun 1-7,,78915637,+0.8%,78928773,-1.1%,11,Total Recall,22,1990-06-01
31,May 25-31,,78325120,+48.8%,79771292,+49.2%,13,Back to the Future Part III,21,1990-05-25
32,May 18-24,,52639547,+56.9%,53454077,+47.3%,12,Bird on a Wire,20,1990-05-18
33,May 11-17,,33551956,-18.8%,36285858,-19.8%,18,Pretty Woman,19,1990-05-11
34,May 4-10,,41329099,-14%,45220644,-16.4%,18,Pretty Woman,18,1990-05-04
35,Apr 27-May 3,,48072965,+0.6%,54094892,+5.4%,15,Pretty Woman,17,1990-04-27
36,Apr 20-26,,47764566,-29.9%,51301535,-29.6%,17,Teenage Mutant Ninja Turtles,16,1990-04-20
37,Apr 13-19,,68090751,-19.7%,72897693,-20.3%,15,Teenage Mutant Ninja Turtles,15,1990-04-13
38,Apr 6-12,,84776243,+3.4%,91474862,+5.4%,17,Teenage Mutant Ninja Turtles,14,1990-04-06
39,Mar 30-Apr 5,,81962911,+48.6%,86751513,+39.6%,15,Teenage Mutant Ninja Turtles,13,1990-03-30
40,Mar 23-29,,55145771,+3.6%,62165079,+2%,17,Pretty Woman,12,1990-03-23
41,Mar 16-22,,53207761,-6.7%,60957282,-2%,18,The Hunt for Red October,11,1990-03-16
42,Mar 9-15,,57012208,+10.4%,62222527,+11.6%,19,The Hunt for Red October,10,1990-03-09
43,Mar 2-8,,51654093,+38.5%,55777471,+26.7%,16,The Hunt for Red October,9,1990-03-02
44,Feb 23-Mar 1,,37290723,-32.2%,44010492,-34.3%,21,Driving Miss Daisy,8,1990-02-23
45,Feb 16-22,,55033344,+24.5%,67029325,+17.2%,23,Driving Miss Daisy,7,1990-02-16
46,Feb 9-15,,44195623,+7.1%,57196028,+9.7%,21,Hard to Kill,6,1990-02-09
47,Feb 2-8,,41271891,-2.2%,52150097,+7.1%,18,Driving Miss Daisy,5,1990-02-02
48,Jan 26-Feb 1,,42181453,-11.9%,48700749,-20.1%,15,Driving Miss Daisy,4,1990-01-26
49,Jan 19-25,,47889210,-21%,60966668,-20.1%,21,Born on the Fourth of July,3,1990-01-19
50,Jan 12-18,,60587445,-5.8%,76329778,+6.5%,18,Born on the Fourth of July,2,1990-01-12
51,Jan 5-11,,64304750,-25%,71640296,-28.9%,18,Born on the Fourth of July,1,1990-01-05
