,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 28-Jan 3, 2013",,279940124,+5.1%,329822992,+3.4%,104,The Hobbit: An Unexpected Journey,52,2012-12-28
1,Dec 21-27,,266434842,+53%,319123357,+65.4%,106,The Hobbit: An Unexpected Journey,51,2012-12-21
2,Dec 14-20,,174095873,+91.2%,192917642,+77.1%,125,The Hobbit: An Unexpected Journey,50,2012-12-14
3,Dec 7-13,,91033020,-29.9%,108922796,-26.6%,131,Skyfall,49,2012-12-07
4,Nov 30-Dec 6,,129948327,-46.3%,148475343,-41.6%,117,The Twilight Saga: Breaking Dawn - Part 2,48,2012-11-30
5,Nov 23-29,,242206732,-33%,254086150,-33.7%,113,The Twilight Saga: Breaking Dawn - Part 2,47,2012-11-23
6,Nov 16-22,,361708982,+70.8%,382988260,+65.1%,128,The Twilight Saga: Breaking Dawn - Part 2,46,2012-11-16
7,Nov 9-15,,211821138,+39.8%,231965804,+29.1%,131,Skyfall,45,2012-11-09
8,Nov 2-8,,151498922,+50.7%,179743679,+41.8%,131,Wreck-It Ralph,44,2012-11-02
9,Oct 26-Nov 1,,100548833,-30.2%,126723820,-22.2%,133,Argo,43,2012-10-26
10,Oct 19-25,,144076593,-4.9%,162974135,-3.6%,134,Paranormal Activity 4,42,2012-10-19
11,Oct 12-18,,151423457,-12.2%,169040444,-11%,134,Taken 2,41,2012-10-12
12,Oct 5-11,,172449357,+32.8%,189881467,+24.5%,127,Taken 2,40,2012-10-05
13,Sep 28-Oct 4,,129894790,+37.9%,152474679,+26.8%,137,Hotel Transylvania,39,2012-09-28
14,Sep 21-27,,94199852,+12.7%,120245860,+5.4%,137,End of Watch,38,2012-09-21
15,Sep 14-20,,83579932,+38.7%,114083012,+29.8%,135,Resident Evil: Retribution,37,2012-09-14
16,Sep 7-13,,60277332,-48.5%,87919567,-43.7%,128,The Possession,36,2012-09-07
17,Aug 31-Sep 6,,117073646,+14.7%,156149036,+16.6%,117,The Possession,35,2012-08-31
18,Aug 24-30,,102049859,-40.5%,133939756,-32.8%,128,The Expendables 2,34,2012-08-24
19,Aug 17-23,,171448387,-9.2%,199383383,-6.8%,119,The Expendables 2,33,2012-08-17
20,Aug 10-16,,188756238,+11.3%,213835068,+11.8%,125,The Bourne Legacy,32,2012-08-10
21,Aug 3-9,,169538353,-11.6%,191209829,-8.5%,122,The Dark Knight Rises,31,2012-08-03
22,Jul 27-Aug 2,,191873716,-40.7%,209000501,-38.5%,113,The Dark Knight Rises,30,2012-07-27
23,Jul 20-26,,323341789,+42.7%,339974008,+34.2%,117,The Dark Knight Rises,29,2012-07-20
24,Jul 13-19,,226618534,-15.4%,253392893,-14.8%,120,Ice Age: Continental Drift,28,2012-07-13
25,Jul 6-12,,267818441,-26.5%,297433730,-27%,117,The Amazing Spider-Man,27,2012-07-06
26,Jun 29-Jul 5,,364397987,+60.4%,407227730,+64.8%,112,Ted,26,2012-06-29
27,Jun 22-28,,227166947,+25.2%,247135768,+25.3%,115,Brave,25,2012-06-22
28,Jun 15-21,,181457056,-25.4%,197217988,-23.9%,119,Madagascar 3: Europe's Most Wanted,24,2012-06-15
29,Jun 8-14,,243319335,+32.5%,259135403,+29.6%,139,Madagascar 3: Europe's Most Wanted,23,2012-06-08
30,Jun 1-7,,183580509,-16.8%,199888969,-15.3%,133,Snow White and the Huntsman,22,2012-06-01
31,May 25-31,,220614576,+20.3%,236073022,+20.4%,130,Men in Black 3,21,2012-05-25
32,May 18-24,,183458682,-13.2%,196111045,-14.5%,133,The Avengers,20,2012-05-18
33,May 11-17,,211352693,-34.5%,229277363,-32.4%,140,The Avengers,19,2012-05-11
34,May 4-10,,322645881,+177.4%,338936048,+137.7%,139,The Avengers,18,2012-05-04
35,Apr 27-May 3,,116310082,-23.8%,142586881,-18.8%,137,Think Like a Man,17,2012-04-27
36,Apr 20-26,,152561948,+14.6%,175536523,+18.9%,139,Think Like a Man,16,2012-04-20
37,Apr 13-19,,133105295,-18.7%,147587293,-16.5%,127,The Hunger Games,15,2012-04-13
38,Apr 6-12,,163808692,-17.1%,176648120,-17.4%,128,The Hunger Games,14,2012-04-06
39,Mar 30-Apr 5,,197658231,-23%,213872724,-22.1%,133,The Hunger Games,13,2012-03-30
40,Mar 23-29,,256545436,+106.7%,274488466,+83.8%,128,The Hunger Games,12,2012-03-23
41,Mar 16-22,,124136351,-21.1%,149333683,-20.2%,133,21 Jump Street,11,2012-03-16
42,Mar 9-15,,157391122,-13.7%,187226987,-12%,139,The Lorax,10,2012-03-09
43,Mar 2-8,,182341151,+35.8%,212870744,+25.2%,125,The Lorax,9,2012-03-02
44,Feb 24-Mar 1,,134303089,-30.1%,169971943,-25.4%,125,Act of Valor,8,2012-02-24
45,Feb 17-23,,192119399,-14.7%,227801178,-12.5%,125,Safe House,7,2012-02-17
46,Feb 10-16,,225174263,+99.1%,260405857,+72.3%,117,The Vow,6,2012-02-10
47,Feb 3-9,,113105124,-3.5%,151149413,-7.2%,112,Chronicle,5,2012-02-03
48,Jan 27-Feb 2,,117177296,-12.5%,162946338,-7.2%,112,The Grey,4,2012-01-27
49,Jan 20-26,,133942552,-10.3%,175635273,-8.1%,117,Underworld: Awakening,3,2012-01-20
50,Jan 13-19,,149323266,-0.9%,191051103,+8.4%,108,Contraband,2,2012-01-13
51,Jan 6-12,,150620904,-29.5%,176213282,-29%,98,The Devil Inside,1,2012-01-06
