,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 29-Jan 4, 2001",,192548793,-23.5%,233483221,-19.1%,57,Cast Away,52,2000-12-29
1,Dec 22-28,,251650628,+80.1%,288450694,+88.1%,59,Cast Away,51,2000-12-22
2,Dec 15-21,,139741158,+44.8%,153328832,+39.2%,45,What Women Want,50,2000-12-15
3,Dec 8-14,,96521694,-0.6%,110120569,+1.6%,53,How the Grinch Stole Christmas,49,2000-12-08
4,Dec 1-7,,97117100,-48.6%,108366192,-47.3%,51,How the Grinch Stole Christmas,48,2000-12-01
5,Nov 24-30,,188891592,-19.9%,205508560,-22.7%,56,How the Grinch Stole Christmas,47,2000-11-24
6,Nov 17-23,,235957823,+109.4%,265939956,+107.4%,58,How the Grinch Stole Christmas,46,2000-11-17
7,Nov 10-16,,112675616,-3.2%,128217358,-2.6%,54,Charlie's Angels,45,2000-11-10
8,Nov 3-9,,116411515,+36.9%,131649454,+28%,59,Charlie's Angels,44,2000-11-03
9,Oct 27-Nov 2,,85037407,-0.1%,102848126,+0.5%,66,Meet the Parents,43,2000-10-27
10,Oct 20-26,,85134437,-5.3%,102362706,-4%,61,Meet the Parents,42,2000-10-20
11,Oct 13-19,,89897651,-6.7%,106613514,-6.8%,58,Meet the Parents,41,2000-10-13
12,Oct 6-12,,96340135,+51.3%,114415040,+38.4%,58,Meet the Parents,40,2000-10-06
13,Sep 29-Oct 5,,63664928,+13.9%,82674073,+5.1%,55,Remember the Titans,39,2000-09-29
14,Sep 22-28,,55877471,+25.8%,78629799,+13.9%,60,The Exorcist2000 Director's Cut,38,2000-09-22
15,Sep 15-21,,44425053,-15.8%,69005251,-10.3%,63,The Watcher,37,2000-09-15
16,Sep 8-14,,52765962,-32.5%,76947488,-35.4%,59,The Watcher,36,2000-09-08
17,Sep 1-7,,78190035,-16.1%,119075960,-4%,60,Bring It On,35,2000-09-01
18,Aug 25-31,,93160197,-16.1%,124027512,-12.3%,60,Bring It On,34,2000-08-25
19,Aug 18-24,,111066662,-16.4%,141411746,-11.6%,64,The Cell,33,2000-08-18
20,Aug 11-17,,132895736,-20.5%,159925000,-16.3%,66,Hollow Man,32,2000-08-11
21,Aug 4-10,,167202437,-3%,190996874,-1.7%,64,Hollow Man,31,2000-08-04
22,Jul 28-Aug 3,,172321887,-8.2%,194226580,-8.7%,58,Nutty Professor II: The Klumps,30,2000-07-28
23,Jul 21-27,,187787415,-7.2%,212627599,-4.7%,69,What Lies Beneath,29,2000-07-21
24,Jul 14-20,,202261899,+4.4%,223061116,+4.4%,69,X-Men,28,2000-07-14
25,Jul 7-13,,193690262,-11.3%,213615565,-10.9%,71,Scary Movie,27,2000-07-07
26,Jun 30-Jul 6,,218440907,+50.5%,239732067,+42.2%,66,The Perfect Storm,26,2000-06-30
27,Jun 23-29,,145130620,+6.3%,168576763,+9.6%,59,"Me, Myself & Irene",25,2000-06-23
28,Jun 16-22,,136553292,+3.7%,153808030,+7.1%,60,Shaft,24,2000-06-16
29,Jun 9-15,,131619154,-1.6%,143602030,-2.1%,53,Gone in 60 Seconds,23,2000-06-09
30,Jun 2-8,,133703846,-32.6%,146653600,-32.7%,58,Mission: Impossible II,22,2000-06-02
31,May 26-Jun 1,,198476946,+35%,217816716,+27.3%,61,Mission: Impossible II,21,2000-05-26
32,May 19-25,,146967578,+65.4%,171131342,+50.9%,55,Dinosaur,20,2000-05-19
33,May 12-18,,88870413,-10.8%,113422887,-3.9%,54,Gladiator,19,2000-05-12
34,May 5-11,,99624240,+23.8%,118034511,+16.8%,53,Gladiator,18,2000-05-05
35,Apr 28-May 4,,80455713,-14.8%,101038470,-18%,53,U-571,17,2000-04-28
36,Apr 21-27,,94479647,+5.6%,123191263,+5.3%,57,U-571,16,2000-04-21
37,Apr 14-20,,89439402,+1.1%,117033830,+8.4%,55,Rules of Engagement,15,2000-04-14
38,Apr 7-13,,88457668,-3.8%,108007567,-5.4%,54,Rules of Engagement,14,2000-04-07
39,Mar 31-Apr 6,,91979242,-2%,114129245,-2.5%,57,Erin Brockovich,13,2000-03-31
40,Mar 24-30,,93828008,-4.1%,117052123,-7.8%,61,Erin Brockovich,12,2000-03-24
41,Mar 17-23,,97805714,+19.9%,126889619,+8.6%,56,Erin Brockovich,11,2000-03-17
42,Mar 10-16,,81555885,+25.2%,116850435,+11.9%,60,Mission to Mars,10,2000-03-10
43,Mar 3-9,,65131988,-21.1%,104391273,-7.3%,55,The Whole Nine Yards,9,2000-03-03
44,Feb 25-Mar 2,,82543725,-34.3%,112645978,-29.2%,55,The Whole Nine Yards,8,2000-02-25
45,Feb 18-24,,125653555,+37.2%,159098936,+33.7%,61,The Whole Nine Yards,7,2000-02-18
46,Feb 11-17,,91574033,+12.7%,119011145,+7.6%,54,Scream 3,6,2000-02-11
47,Feb 4-10,,81219487,+51.1%,110651459,+28.5%,55,Scream 3,5,2000-02-04
48,Jan 28-Feb 3,,53744545,-20.4%,86115844,-18.4%,60,Eye of the Beholder,4,2000-01-28
49,Jan 21-27,,67541452,-35.7%,105493208,-28%,58,Next Friday,3,2000-01-21
50,Jan 14-20,,105023114,+14.6%,146456782,+11.9%,57,Next Friday,2,2000-01-14
51,Jan 7-13,,91647587,-31.9%,130929381,-19%,56,Stuart Little,1,2000-01-07
