,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 27-Jan 2, 2014",,315587345,+4.9%,368526048,+6.1%,92,Frozen,52,2013-12-27
1,Dec 20-26,,300954757,+55.2%,347353915,+65.3%,94,The Hobbit: The Desolation of Smaug,51,2013-12-20
2,Dec 13-19,,193974627,+76.2%,210111906,+67.6%,108,The Hobbit: The Desolation of Smaug,50,2013-12-13
3,Dec 6-12,,110073479,-50.7%,125400294,-49.2%,105,Frozen,49,2013-12-06
4,Nov 29-Dec 5,,223223284,-32.1%,246833082,-30.8%,122,The Hunger Games: Catching Fire,48,2013-11-29
5,Nov 22-28,,328856289,+126%,356497254,+120.6%,116,The Hunger Games: Catching Fire,47,2013-11-22
6,Nov 15-21,,145499676,-29.9%,161583196,-27.1%,125,Thor: The Dark World,46,2013-11-15
7,Nov 8-14,,207463472,+38.8%,221692830,+33.5%,136,Thor: The Dark World,45,2013-11-08
8,Nov 1-7,,149483282,+21.4%,166027607,+21.5%,130,Ender's Game,44,2013-11-01
9,Oct 25-31,,123093095,+3.7%,136670494,-0.6%,127,Jackass Presents: Bad Grandpa,43,2013-10-25
10,Oct 18-24,,118733723,-18.1%,137515450,-15.9%,134,Gravity,42,2013-10-18
11,Oct 11-17,,144942414,-3.5%,163531879,-4.1%,137,Gravity,41,2013-10-11
12,Oct 4-10,,150163820,+31.3%,170507756,+25%,143,Gravity,40,2013-10-04
13,Sep 27-Oct 3,,114394335,+27%,136352516,+20.6%,143,Cloudy with a Chance of Meatballs 2,39,2013-09-27
14,Sep 20-26,,90069837,-16.1%,113042385,-13.5%,152,Prisoners,38,2013-09-20
15,Sep 13-19,,107367381,+35.3%,130724749,+18.7%,151,Insidious: Chapter 2,37,2013-09-13
16,Sep 6-12,,79372983,-36.9%,110174966,-40.8%,147,Riddick,36,2013-09-06
17,Aug 30-Sep 5,,125742252,+6.1%,186119930,+18.5%,127,The Butler,35,2013-08-30
18,Aug 23-29,,118521644,-27.2%,157051178,-23.6%,126,The Butler,34,2013-08-23
19,Aug 16-22,,162803477,-20.5%,205691977,-13.5%,128,The Butler,33,2013-08-16
20,Aug 9-15,,204748975,+13.2%,237865897,+5.7%,113,Elysium,32,2013-08-09
21,Aug 2-8,,180883701,-20.1%,225090192,-15%,113,2 Guns,31,2013-08-02
22,Jul 26-Aug 1,,226435781,-14.2%,264928176,-10.8%,115,The Wolverine,30,2013-07-26
23,Jul 19-25,,263954181,-3.6%,296904641,-1.2%,120,The Conjuring,29,2013-07-19
24,Jul 12-18,,273856971,-15.3%,300442364,-11.4%,119,Despicable Me 2,28,2013-07-12
25,Jul 5-11,,323465572,-9.5%,339155772,-11.4%,107,Despicable Me 2,27,2013-07-05
26,Jun 28-Jul 4,,357517138,+5.9%,382677490,+7.4%,117,Monsters University,26,2013-06-28
27,Jun 21-27,,337710172,+24.2%,356403141,+23.3%,113,Monsters University,25,2013-06-21
28,Jun 14-20,,271838230,+32.1%,289031400,+24.5%,113,Man of Steel,24,2013-06-14
29,Jun 7-13,,205830183,-6.4%,232123083,+1.4%,119,The Purge,23,2013-06-07
30,May 31-Jun 6,,219986128,-38.7%,229027733,-38%,123,Fast & Furious 6,22,2013-05-31
31,May 24-30,,358998311,+72%,369640050,+67.8%,117,Fast & Furious 6,21,2013-05-24
32,May 17-23,,208678960,+1.9%,220229837,+0.8%,119,Star Trek Into Darkness,20,2013-05-17
33,May 10-16,,204809319,-20.6%,218514742,-19.4%,134,Iron Man 3,19,2013-05-10
34,May 3-9,,257961549,+155%,271247902,+125%,135,Iron Man 3,18,2013-05-03
35,Apr 26-May 2,,101153160,-17.5%,120572561,-14.9%,134,Pain & Gain,17,2013-04-26
36,Apr 19-25,,122641148,-7.9%,141603891,-5.7%,135,Oblivion,16,2013-04-19
37,Apr 12-18,,133217250,-14.4%,150099389,-11.5%,133,42,15,2013-04-12
38,Apr 5-11,,155693268,-20.9%,169598356,-20%,133,Evil Dead,14,2013-04-05
39,Mar 29-Apr 4,,196934467,+5.5%,212101323,+2.6%,134,G.I. Joe: Retaliation,13,2013-03-29
40,Mar 22-28,,186579465,+54.3%,206711471,+46%,127,The Croods,12,2013-03-22
41,Mar 15-21,,120884098,-27.7%,141553988,-25.9%,111,Oz the Great and Powerful,11,2013-03-15
42,Mar 8-14,,167146348,+50%,190987490,+35.6%,115,Oz the Great and Powerful,10,2013-03-08
43,Mar 1-7,,111455760,+4.1%,140795988,+4.9%,111,Jack the Giant Slayer,9,2013-03-01
44,Feb 22-28,,107063681,-36.5%,134207125,-32.7%,104,Identity Thief,8,2013-02-22
45,Feb 15-21,,168643187,+34.6%,199428660,+20.9%,110,A Good Day to Die Hard,7,2013-02-15
46,Feb 8-14,,125253826,+45.7%,164904804,+38.8%,107,Identity Thief,6,2013-02-08
47,Feb 1-7,,85975504,-18.2%,118805418,-18.7%,107,Warm Bodies,5,2013-02-01
48,Jan 25-31,,105088994,-28.3%,146135716,-24.6%,104,Hansel & Gretel: Witch Hunters,4,2013-01-25
49,Jan 18-24,,146662380,-1.8%,193889853,+3.2%,103,Mama,3,2013-01-18
50,Jan 11-17,,149387288,-1.8%,187928178,-3%,104,Zero Dark Thirty,2,2013-01-11
51,Jan 4-10,,152133706,-45.7%,193656826,-41.3%,105,Django Unchained,1,2013-01-04
