,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,Dec 25-31,,97284806,+59.7%,110949437,+62.2%,18,Three Men and a Baby,52,1987-12-25
1,Dec 18-24,,60918291,+50.3%,68400790,+59.6%,19,Eddie Murphy: Raw,51,1987-12-18
2,Dec 11-17,,40519114,+8%,42844414,+6.4%,14,Throw Momma from the Train,50,1987-12-11
3,Dec 4-10,,37503106,-36.4%,40249087,-36.5%,14,Three Men and a Baby,49,1987-12-04
4,Nov 27-Dec 3,,58937748,+7.6%,63430076,-4.8%,14,Three Men and a Baby,48,1987-11-27
5,Nov 20-26,,54778390,+38.7%,66658890,+41.5%,20,The Running Man,47,1987-11-20
6,Nov 13-19,,39497268,-7.8%,47104470,-13.2%,17,The Running Man,46,1987-11-13
7,Nov 6-12,,42820330,+20.3%,54261601,+44.6%,17,Fatal Attraction,45,1987-11-06
8,Oct 30-Nov 5,,35600744,-11.3%,37526862,-11.5%,13,Fatal Attraction,44,1987-10-30
9,Oct 23-29,,40148355,+20.5%,42395628,+18.4%,12,Fatal Attraction,43,1987-10-23
10,Oct 16-22,,33330576,-19.3%,35821803,-21.2%,16,Fatal Attraction,42,1987-10-16
11,Oct 9-15,,41287545,+8.9%,45461873,+11.2%,15,Fatal Attraction,41,1987-10-09
12,Oct 2-8,,37902680,+11.8%,40894885,+6.8%,16,Fatal Attraction,40,1987-10-02
13,Sep 25-Oct 1,,33907876,-21.7%,38306154,-16.4%,16,Fatal Attraction,39,1987-09-25
14,Sep 18-24,,43319250,+49.9%,45827814,+34%,16,Fatal Attraction,38,1987-09-18
15,Sep 11-17,,28897253,-36.1%,34209597,-35.7%,17,Stakeout,37,1987-09-11
16,Sep 4-10,,45241955,-2.1%,53208227,-0.6%,14,Stakeout,36,1987-09-04
17,Aug 28-Sep 3,,46216040,-13.9%,53549021,-20.1%,15,Stakeout,35,1987-08-28
18,Aug 21-27,,53685389,-5.4%,66996575,-7%,18,Stakeout,34,1987-08-21
19,Aug 14-20,,56773072,-16%,72008580,-18.8%,16,Stakeout,33,1987-08-14
20,Aug 7-13,,67560702,-5%,88689084,+0.1%,21,The Living Daylights,32,1987-08-07
21,Jul 31-Aug 6,,71102694,-1.4%,88596487,-2.9%,19,The Living Daylights,31,1987-07-31
22,Jul 24-30,,72097105,-3.8%,91212312,+2.2%,18,Summer School,30,1987-07-24
23,Jul 17-23,,74970452,+10.1%,89222137,+15%,18,Snow White and the Seven Dwarfs1987 Re-release,29,1987-07-17
24,Jul 10-16,,68069952,-7.4%,77582639,-1.7%,16,Revenge of the Nerds II: Nerds in Paradise,28,1987-07-10
25,Jul 3-9,,73524912,-10.1%,78900797,-8.2%,12,Dragnet,27,1987-07-03
26,Jun 26-Jul 2,,81817133,+18.8%,85956120,+23.9%,12,Dragnet,26,1987-06-26
27,Jun 19-25,,68878735,-9.5%,69392651,-10.4%,11,The Witches of Eastwick,25,1987-06-19
28,Jun 12-18,,76142482,+41.1%,77472160,+39.6%,12,Predator,24,1987-06-12
29,Jun 5-11,,53947940,+24.9%,55509442,+23%,15,The Untouchables,23,1987-06-05
30,May 29-Jun 4,,43194185,-35.7%,45134132,-35%,13,Beverly Hills Cop II,22,1987-05-29
31,May 22-28,,67207114,+98.5%,69425450,+84%,12,Beverly Hills Cop II,21,1987-05-22
32,May 15-21,,33863185,+47.6%,37724285,+50.8%,14,Beverly Hills Cop II,20,1987-05-15
33,May 8-14,,22942515,-18.2%,25015299,-23.3%,13,The Secret of My Success,19,1987-05-08
34,May 1-7,,28063562,-14.5%,32599285,-10.6%,14,The Secret of My Success,18,1987-05-01
35,Apr 24-30,,32837596,-21.8%,36479770,-16.6%,15,The Secret of My Success,17,1987-04-24
36,Apr 17-23,,42011454,-8.3%,43757306,-13.2%,13,The Secret of My Success,16,1987-04-17
37,Apr 10-16,,45809956,+9.2%,50383893,+8.7%,16,The Secret of My Success,15,1987-04-10
38,Apr 3-9,,41963135,+1.8%,46352350,-2.2%,15,Police Academy 4: Citizens on Patrol,14,1987-04-03
39,Mar 27-Apr 2,,41233222,-4.5%,47388320,-4.7%,18,Blind Date,13,1987-03-27
40,Mar 20-26,,43182986,-10.2%,49710586,-8.6%,17,Lethal Weapon,12,1987-03-20
41,Mar 13-19,,48113990,-6.5%,54394186,-0.3%,16,Lethal Weapon,11,1987-03-13
42,Mar 6-12,,51465226,+10.7%,54534955,+13.3%,14,Lethal Weapon,10,1987-03-06
43,Feb 27-Mar 5,,46503228,+10.9%,48150344,+8.9%,13,A Nightmare on Elm Street 3: Dream Warriors,9,1987-02-27
44,Feb 20-26,,41925035,-21%,44209710,-25.1%,13,Platoon,8,1987-02-20
45,Feb 13-19,,53102468,+27.9%,59056296,+25.6%,17,Platoon,7,1987-02-13
46,Feb 6-12,,41506086,-1.2%,47022915,+1.5%,17,Platoon,6,1987-02-06
47,Jan 30-Feb 5,,42030285,+35.1%,46343043,+34.6%,13,Platoon,5,1987-01-30
48,Jan 23-29,,31119639,-29.4%,34434944,-37.6%,13,Platoon,4,1987-01-23
49,Jan 16-22,,44089117,+15.8%,55145110,+12.1%,17,Critical Condition,3,1987-01-16
50,Jan 9-15,,38064422,-27.6%,49183855,-25%,17,The Golden Child,2,1987-01-09
51,Jan 2-8,,52606220,-48.7%,65608272,-44.7%,15,The Golden Child,1,1987-01-02
