,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 31-Jan 6, 1994",,92268299,-23.1%,105807063,-22.1%,23,Mrs. Doubtfire,53,1993-12-31
1,Dec 24-30,,119952890,+42.5%,135844494,+51%,22,Mrs. Doubtfire,52,1993-12-24
2,Dec 17-23,,84197189,+42.6%,89950261,+44.8%,20,The Pelican Brief,51,1993-12-17
3,Dec 10-16,,59039417,+20.5%,62141702,+14.7%,18,Wayne's World 2,50,1993-12-10
4,Dec 3-9,,49001731,-39.5%,54167037,-41%,15,Mrs. Doubtfire,49,1993-12-03
5,Nov 26-Dec 2,,81049651,+7.5%,91836744,+5.7%,19,Mrs. Doubtfire,48,1993-11-26
6,Nov 19-25,,75410719,+32.9%,86893896,+28.7%,23,Addams Family Values,47,1993-11-19
7,Nov 12-18,,56727656,+10.3%,67501888,+6.2%,19,The Three Musketeers,46,1993-11-12
8,Nov 5-11,,51442707,+8%,63549470,+14%,18,The Nightmare Before Christmas,45,1993-11-05
9,Oct 29-Nov 4,,47619477,-14.8%,55767888,-10.4%,18,The Nightmare Before Christmas,44,1993-10-29
10,Oct 22-28,,55894081,-7.9%,62269693,-15.3%,16,Demolition Man,43,1993-10-22
11,Oct 15-21,,60708080,-15.2%,73479814,-12.3%,22,Demolition Man,42,1993-10-15
12,Oct 8-14,,71592116,+14.1%,83809771,+27.7%,20,Demolition Man,41,1993-10-08
13,Oct 1-7,,62760015,+14.8%,65642256,+6.7%,15,Malice,40,1993-10-01
14,Sep 24-30,,54667861,+31.5%,61491852,+21.8%,18,The Good Son,39,1993-09-24
15,Sep 17-23,,41569803,+1.9%,50467807,+0.8%,17,Striking Distance,38,1993-09-17
16,Sep 10-16,,40796289,-32.2%,50053871,-34.3%,17,The Fugitive,37,1993-09-10
17,Sep 3-9,,60169755,-5.4%,76233523,-3%,19,The Fugitive,36,1993-09-03
18,Aug 27-Sep 2,,63629210,-19.8%,78605743,-17.3%,21,The Fugitive,35,1993-08-27
19,Aug 20-26,,79358736,-19.1%,95086227,-15.4%,21,The Fugitive,34,1993-08-20
20,Aug 13-19,,98085414,-4.8%,112352412,-5.9%,18,The Fugitive,33,1993-08-13
21,Aug 6-12,,103057206,-3.6%,119364655,-8%,19,The Fugitive,32,1993-08-06
22,Jul 30-Aug 5,,106887213,-11%,129787624,-2.8%,19,Rising Sun,31,1993-07-30
23,Jul 23-29,,120158128,-3.2%,133494823,-1%,17,In the Line of Fire,30,1993-07-23
24,Jul 16-22,,124156365,-14.1%,134870471,-12.3%,17,The Firm,29,1993-07-16
25,Jul 9-15,,144452991,-15.6%,153859970,-12.8%,16,The Firm,28,1993-07-09
26,Jul 2-8,,171219397,+38.9%,176532079,+39.1%,16,The Firm,27,1993-07-02
27,Jun 25-Jul 1,,123260502,+2.8%,126896674,-0.5%,15,Jurassic Park,26,1993-06-25
28,Jun 18-24,,119858971,-1.3%,127597826,-0.6%,16,Jurassic Park,25,1993-06-18
29,Jun 11-17,,121497379,+72.3%,128385233,+61.2%,19,Jurassic Park,24,1993-06-11
30,Jun 4-10,,70531333,-24.3%,79623249,-21.8%,20,Cliffhanger,23,1993-06-04
31,May 28-Jun 3,,93209872,+54.8%,101812513,+57.4%,17,Cliffhanger,22,1993-05-28
32,May 21-27,,60201657,+33%,64663851,+27.5%,16,Sliver,21,1993-05-21
33,May 14-20,,45277601,+6.5%,50727815,+8.5%,19,Dave,20,1993-05-14
34,May 7-13,,42504452,+15.8%,46751595,+4.1%,18,Dragon: The Bruce Lee Story,19,1993-05-07
35,Apr 30-May 6,,36691527,-19.5%,44929843,-17.4%,20,Indecent Proposal,18,1993-04-30
36,Apr 23-29,,45563219,-10.2%,54395392,-7.3%,19,Indecent Proposal,17,1993-04-23
37,Apr 16-22,,50764849,-29.5%,58671887,-26.6%,21,Indecent Proposal,16,1993-04-16
38,Apr 9-15,,71968171,+40%,79896885,+30.6%,20,Indecent Proposal,15,1993-04-09
39,Apr 2-8,,51391424,+13%,61194871,+10%,18,Cop & ½,14,1993-04-02
40,Mar 26-Apr 1,,45471858,-21.7%,55613310,-18.7%,18,Teenage Mutant Ninja Turtles III,13,1993-03-26
41,Mar 19-25,,58043086,+20.4%,68413722,+17.6%,19,Teenage Mutant Ninja Turtles III,12,1993-03-19
42,Mar 12-18,,48192149,-3.6%,58154581,-6.6%,22,Fire in the Sky,11,1993-03-12
43,Mar 5-11,,49987749,-10.7%,62272919,-2.6%,22,Falling Down,10,1993-03-05
44,Feb 26-Mar 4,,55957366,-5%,63905934,-9.2%,20,Falling Down,9,1993-02-26
45,Feb 19-25,,58887339,-19.9%,70366572,-19%,20,Groundhog Day,8,1993-02-19
46,Feb 12-18,,73551471,+20.3%,86844843,+23.4%,20,Groundhog Day,7,1993-02-12
47,Feb 5-11,,61120272,+23.8%,70348849,+16.9%,20,Loaded Weapon 1,6,1993-02-05
48,Jan 29-Feb 4,,49383363,-13.1%,60155438,-11.9%,20,Aladdin,5,1993-01-29
49,Jan 22-28,,56839895,-25.4%,68261262,-22%,19,Aladdin,4,1993-01-22
50,Jan 15-21,,76212431,+22.6%,87541247,+21.6%,23,Aladdin,3,1993-01-15
51,Jan 8-14,,62187929,-32.6%,71979984,-29.9%,20,A Few Good Men,2,1993-01-08
52,Jan 1-7,,92283547,-38.3%,102657282,-37.4%,19,Aladdin,1,1993-01-01
