,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 26-Jan 1, 2015",,330568594,+37.6%,391450158,+35.9%,93,The Hobbit: The Battle of the Five Armies,52,2014-12-26
1,Dec 19-25,,240192982,+85.5%,287998336,+97.1%,102,The Hobbit: The Battle of the Five Armies,51,2014-12-19
2,Dec 12-18,,129511984,+47.7%,146098083,+43.5%,109,The Hobbit: The Battle of the Five Armies,50,2014-12-12
3,Dec 5-11,,87660059,-51.4%,101819700,-48%,117,The Hunger Games: Mockingjay - Part 1,49,2014-12-05
4,Nov 28-Dec 4,,180547923,-35.3%,195931810,-34.9%,117,The Hunger Games: Mockingjay - Part 1,48,2014-11-28
5,Nov 21-27,,279179001,+80%,301024424,+72.2%,111,The Hunger Games: Mockingjay - Part 1,47,2014-11-21
6,Nov 14-20,,155116315,-21.3%,174787606,-19.9%,125,Dumb and Dumber To,46,2014-11-14
7,Nov 7-13,,197210080,+97.3%,218258177,+67.9%,135,Big Hero 6,45,2014-11-07
8,Oct 31-Nov 6,,99964533,-20.9%,129970379,-14.2%,130,Nightcrawler,44,2014-10-31
9,Oct 24-30,,126307521,-16%,151552712,-12.3%,136,Ouija,43,2014-10-24
10,Oct 17-23,,150451372,-15.8%,172777362,-14.6%,135,Fury,42,2014-10-17
11,Oct 10-16,,178687633,+1.9%,202385961,+4.5%,139,Gone Girl,41,2014-10-10
12,Oct 3-9,,175329016,+43.3%,193722333,+39%,146,Gone Girl,40,2014-10-03
13,Sep 26-Oct 2,,122343816,+6.6%,139361329,+4.6%,155,The Equalizer,39,2014-09-26
14,Sep 19-25,,114768662,+25%,133255672,+14.3%,141,The Maze Runner,38,2014-09-19
15,Sep 12-18,,91833864,+45.2%,116621917,+32.5%,144,No Good Deed,37,2014-09-12
16,Sep 5-11,,63265254,-48.5%,88040756,-46.2%,138,Guardians of the Galaxy,36,2014-09-05
17,Aug 29-Sep 4,,122883981,-6%,163548362,+3.7%,125,Guardians of the Galaxy,35,2014-08-29
18,Aug 22-28,,130765914,-26.1%,157750308,-22.6%,119,Guardians of the Galaxy,34,2014-08-22
19,Aug 15-21,,176836799,-28.2%,203826063,-26.2%,118,Teenage Mutant Ninja Turtles,33,2014-08-15
20,Aug 8-14,,246226841,+2.2%,276226383,+1.6%,129,Teenage Mutant Ninja Turtles,32,2014-08-08
21,Aug 1-7,,240966020,+25.3%,271992148,+19%,125,Guardians of the Galaxy,31,2014-08-01
22,Jul 25-31,,192387445,+0.7%,228576572,+3.6%,129,Lucy,30,2014-07-25
23,Jul 18-24,,191125930,-4.8%,220539822,-2.9%,125,Dawn of the Planet of the Apes,29,2014-07-18
24,Jul 11-17,,200657605,+13.6%,227126382,+11.1%,129,Dawn of the Planet of the Apes,28,2014-07-11
25,Jul 4-10,,176616643,-32.2%,204482485,-29.5%,121,Transformers: Age of Extinction,27,2014-07-04
26,Jun 27-Jul 3,,260558197,+28%,289901037,+31.6%,135,Transformers: Age of Extinction,26,2014-06-27
27,Jun 20-26,,203528148,-21.6%,220210101,-19.9%,125,22 Jump Street,25,2014-06-20
28,Jun 13-19,,259565768,+17.7%,274993544,+16.7%,138,22 Jump Street,24,2014-06-13
29,Jun 6-12,,220504224,+1.7%,235595385,+2.2%,130,The Fault in Our Stars,23,2014-06-06
30,May 30-Jun 5,,216842737,-15.4%,230601707,-16.5%,119,Maleficent,22,2014-05-30
31,May 23-29,,256416763,+18.5%,276211722,+18.9%,119,X-Men: Days of Future Past,21,2014-05-23
32,May 16-22,,216442291,+34.4%,232393700,+29.8%,120,Godzilla,20,2014-05-16
33,May 9-15,,160996916,-8.4%,179028025,-7.3%,129,Neighbors,19,2014-05-09
34,May 2-8,,175759587,+40.4%,193201263,+27.4%,127,The Amazing Spider-Man 2,18,2014-05-02
35,Apr 25-May 1,,125165476,-20.2%,151618577,-16.4%,123,The Other Woman,17,2014-04-25
36,Apr 18-24,,156755135,-16%,181264941,-10.9%,121,Captain America: The Winter Soldier,16,2014-04-18
37,Apr 11-17,,186574452,-5.1%,203338691,-4.4%,121,Captain America: The Winter Soldier,15,2014-04-11
38,Apr 4-10,,196678724,+23.1%,212596140,+17%,126,Captain America: The Winter Soldier,14,2014-04-04
