,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
39,Mar 28-Apr 3,,159801347,-6.3%,181733864,-3.4%,124,Noah,13,2014-03-28
40,Mar 21-27,,170465445,+33.2%,188112093,+25.7%,124,Divergent,12,2014-03-21
41,Mar 14-20,,127965571,-24.9%,149677184,-22.7%,122,Mr. Peabody & Sherman,11,2014-03-14
42,Mar 7-13,,170490799,+28.5%,193720702,+21.2%,117,300: Rise of an Empire,10,2014-03-07
43,Feb 28-Mar 6,,132712053,+12.9%,159786536,+12.4%,126,Non-Stop,9,2014-02-28
44,Feb 21-27,,117537472,-43.6%,142101720,-41.1%,119,The Lego Movie,8,2014-02-21
45,Feb 14-20,,208274585,+28.9%,241339975,+25%,118,The Lego Movie,7,2014-02-14
46,Feb 7-13,,161597230,+89.2%,193105244,+69.2%,120,The Lego Movie,6,2014-02-07
47,Jan 31-Feb 6,,85426599,-29.1%,114148109,-26.2%,106,Ride Along,5,2014-01-31
48,Jan 24-30,,120507999,-40.7%,154648033,-37.3%,110,Ride Along,4,2014-01-24
49,Jan 17-23,,203206065,+35.1%,246827021,+30.7%,104,Ride Along,3,2014-01-17
50,Jan 10-16,,150397106,-5.6%,188892293,-0.6%,101,Lone Survivor,2,2014-01-10
51,Jan 3-9,,159343109,-49.5%,190086612,-48.4%,92,Frozen,1,2014-01-03
