,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 30-Jan 5, 2012",,213642649,-28.9%,248070722,-28.2%,100,Mission: Impossible - Ghost Protocol,52,2011-12-30
1,Dec 23-29,,300321580,+64.7%,345401912,+62%,99,Mission: Impossible - Ghost Protocol,51,2011-12-23
2,Dec 16-22,,182384988,+116%,213257570,+110.7%,108,Sherlock Holmes: A Game of Shadows,50,2011-12-16
3,Dec 9-15,,84450516,-4.9%,101221324,-3.1%,117,New Year's Eve,49,2011-12-09
4,Dec 2-8,,88847279,-49.7%,104461189,-47.2%,108,The Twilight Saga: Breaking Dawn - Part 1,48,2011-12-02
5,Nov 25-Dec 1,,176473774,-42.1%,197927420,-39.9%,115,The Twilight Saga: Breaking Dawn - Part 1,47,2011-11-25
6,Nov 18-24,,304733871,+100.8%,329160788,+95.5%,118,The Twilight Saga: Breaking Dawn - Part 1,46,2011-11-18
7,Nov 11-17,,151751842,+18%,168363170,+13.9%,129,Immortals,45,2011-11-11
8,Nov 4-10,,128579152,+8.2%,147877492,+5.9%,142,Puss in Boots,44,2011-11-04
9,Oct 28-Nov 3,,118805027,-8.9%,139629440,-8.5%,142,Puss in Boots,43,2011-10-28
10,Oct 21-27,,130461477,+37.7%,152524730,+31.5%,146,Paranormal Activity 3,42,2011-10-21
11,Oct 14-20,,94775296,-12.9%,115992630,-11.3%,143,Real Steel,41,2011-10-14
12,Oct 7-13,,108759905,+2.7%,130735511,+2.3%,136,Real Steel,40,2011-10-07
13,Sep 30-Oct 6,,105872089,-21.9%,127805558,-17.6%,137,Dolphin Tale,39,2011-09-30
14,Sep 23-29,,135551669,+22.6%,155047385,+13.7%,146,The Lion King2011 3D Release,38,2011-09-23
15,Sep 16-22,,110527635,+36.8%,136401687,+24.7%,146,The Lion King2011 3D Release,37,2011-09-16
16,Sep 9-15,,80789849,-29.7%,109344057,-32.3%,143,Contagion,36,2011-09-09
17,Sep 2-8,,114907250,+15.1%,161436697,+17.7%,136,The Help,35,2011-09-02
18,Aug 26-Sep 1,,99829698,-28.6%,137102685,-23.7%,140,The Help,34,2011-08-26
19,Aug 19-25,,139808541,-30.7%,179632318,-23.3%,136,The Help,33,2011-08-19
20,Aug 12-18,,201633393,-13.7%,234139529,-9.7%,134,The Help,32,2011-08-12
21,Aug 5-11,,233695663,-8.6%,259290324,-6%,137,Rise of the Planet of the Apes,31,2011-08-05
22,Jul 29-Aug 4,,255672815,-3.8%,275953728,-3.1%,132,The Smurfs,30,2011-07-29
23,Jul 22-28,,265875604,-24.5%,284813288,-24.1%,125,Captain America: The First Avenger,29,2011-07-22
24,Jul 15-21,,352224713,+68.3%,375468293,+60.4%,132,Harry Potter and the Deathly Hallows: Part 2,28,2011-07-15
25,Jul 8-14,,209310378,-28.8%,234047748,-27%,129,Transformers: Dark of the Moon,27,2011-07-08
26,Jul 1-7,,294136214,+0.8%,320690194,+1%,118,Transformers: Dark of the Moon,26,2011-07-01
27,Jun 24-30,,291750566,+37.4%,317595770,+39.8%,124,Cars 2,25,2011-06-24
28,Jun 17-23,,212376999,+11.8%,227254468,+12.6%,116,Green Lantern,24,2011-06-17
29,Jun 10-16,,189912567,-11%,201738518,-10.7%,111,Super 8,23,2011-06-10
30,Jun 3-9,,213433537,-32%,225856713,-31.6%,122,X-Men: First Class,22,2011-06-03
31,May 27-Jun 2,,313967197,+32.2%,330413723,+28.6%,118,The Hangover Part II,21,2011-05-27
32,May 20-26,,237529312,+41.2%,256839160,+37.3%,129,Pirates of the Caribbean: On Stranger Tides,20,2011-05-20
33,May 13-19,,168272530,-14.1%,187077134,-13.4%,135,Thor,19,2011-05-13
34,May 6-12,,195807398,+12.5%,215916165,+8.2%,135,Thor,18,2011-05-06
35,Apr 29-May 5,,174121583,+16.5%,199511346,+10.8%,126,Fast Five,17,2011-04-29
36,Apr 22-28,,149439375,-4%,180045162,-2.3%,136,Rio,16,2011-04-22
37,Apr 15-21,,155725687,+27.3%,184364020,+26.3%,124,Rio,15,2011-04-15
38,Apr 8-14,,122359193,-13.9%,146002691,-10.4%,133,Hop,14,2011-04-08
39,Apr 1-7,,142117561,+5.8%,162920726,+3.2%,131,Hop,13,2011-04-01
40,Mar 25-31,,134375173,+2.4%,157827277,+2.6%,129,Diary of a Wimpy Kid: Rodrick Rules,12,2011-03-25
41,Mar 18-24,,131245337,-14.3%,153894371,-14.1%,128,Limitless,11,2011-03-18
42,Mar 11-17,,153105953,+7.5%,179108604,+6.4%,124,Battle Los Angeles,10,2011-03-11
43,Mar 4-10,,142454921,+21.6%,168412622,+20%,111,Rango,9,2011-03-04
44,Feb 25-Mar 3,,117157208,-34%,140375523,-31.8%,111,Hall Pass,8,2011-02-25
45,Feb 18-24,,177560299,+6.2%,205969087,+4.6%,112,Unknown,7,2011-02-18
46,Feb 11-17,,167127531,+86.8%,196852055,+70.5%,119,Just Go with It,6,2011-02-11
47,Feb 4-10,,89445107,-19.5%,115449835,-17.3%,117,The Roommate,5,2011-02-04
48,Jan 28-Feb 3,,111152652,+1.1%,139660347,+3.2%,108,The Rite,4,2011-01-28
49,Jan 21-27,,109925009,-27.3%,135366417,-26.8%,110,No Strings Attached,3,2011-01-21
50,Jan 14-20,,151219974,+28.5%,185023934,+24.9%,114,The Green Hornet,2,2011-01-14
51,Jan 7-13,,117668025,-36.4%,148114478,-31.6%,106,True Grit,1,2011-01-07
