,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,"Dec 28-Jan 3, 2002",,236081226,-4.7%,290520484,+0.9%,57,The Lord of the Rings: The Fellowship of the Ring,52,2001-12-28
1,Dec 21-27,,247812996,+73.2%,287952227,+89.9%,50,The Lord of the Rings: The Fellowship of the Ring,51,2001-12-21
2,Dec 14-20,,143043356,+37.3%,151604533,+34.1%,50,Vanilla Sky,50,2001-12-14
3,Dec 7-13,,104219501,+6.3%,113047112,+2.5%,56,Ocean's Eleven,49,2001-12-07
4,Nov 30-Dec 6,,98071631,-39.6%,110243057,-38.5%,57,Harry Potter and the Sorcerer's Stone,48,2001-11-30
5,Nov 23-29,,162252912,-27.5%,179189822,-28.2%,56,Harry Potter and the Sorcerer's Stone,47,2001-11-23
6,Nov 16-22,,223787194,+57.1%,249674543,+53.8%,58,Harry Potter and the Sorcerer's Stone,46,2001-11-16
7,Nov 9-15,,142487373,-11.1%,162305030,-9.6%,58,"Monsters, Inc.",45,2001-11-09
8,Nov 2-8,,160192502,+85%,179456448,+65.7%,59,"Monsters, Inc.",44,2001-11-02
9,Oct 26-Nov 1,,86607537,+0.2%,108290922,+1.8%,57,K-PAX,43,2001-10-26
10,Oct 19-25,,86426754,-7.8%,106410808,-3.4%,60,From Hell,42,2001-10-19
11,Oct 12-18,,93729521,-11.5%,110201848,-8.4%,58,Training Day,41,2001-10-12
12,Oct 5-11,,105955176,+39%,120293722,+27.1%,61,Training Day,40,2001-10-05
13,Sep 28-Oct 4,,76207503,+50.8%,94625569,+24.5%,58,Don't Say a Word,39,2001-09-28
14,Sep 21-27,,50534468,-17%,76015096,-9.1%,55,Hardball,38,2001-09-21
15,Sep 14-20,,60853023,-12.3%,83634364,-9.5%,58,Hardball,37,2001-09-14
16,Sep 7-13,,69423827,-30.7%,92421954,-31.4%,58,The Musketeer,36,2001-09-07
17,Aug 31-Sep 6,,100211828,-5.6%,134810641,-0.3%,57,Jeepers Creepers,35,2001-08-31
18,Aug 24-30,,106209904,-25.9%,135184358,-19.7%,58,American Pie 2,34,2001-08-24
19,Aug 17-23,,143280736,-31.7%,168437295,-27.4%,54,American Pie 2,33,2001-08-17
20,Aug 10-16,,209880289,-13%,231951630,-10.6%,56,American Pie 2,32,2001-08-10
21,Aug 3-9,,241231115,+17.6%,259564447,+15%,53,Rush Hour 2,31,2001-08-03
22,Jul 27-Aug 2,,205145437,+5.3%,225717054,+3.2%,57,Planet of the Apes,30,2001-07-27
23,Jul 20-26,,194797745,+9.7%,218803824,+3.5%,52,Jurassic Park III,29,2001-07-20
24,Jul 13-19,,177508750,+5.2%,211385698,+4.6%,54,Legally Blonde,28,2001-07-13
25,Jul 6-12,,168809092,-14.4%,202065008,-13%,54,Cats & Dogs,27,2001-07-06
26,Jun 29-Jul 5,,197173477,+2.9%,232202386,+12.2%,57,A.I. Artificial Intelligence,26,2001-06-29
27,Jun 22-28,,191584867,+4.6%,207006418,+7.5%,54,The Fast and the Furious,25,2001-06-22
28,Jun 15-21,,183134030,+34.4%,192521334,+33.2%,57,Lara Croft: Tomb Raider,24,2001-06-15
29,Jun 8-14,,136249169,-17%,144498974,-16.5%,56,Swordfish,23,2001-06-08
30,Jun 1-7,,164193396,-20.5%,173116482,-19.4%,53,Pearl Harbor,22,2001-06-01
31,May 25-31,,206443713,+65.5%,214766296,+64.7%,25,Pearl Harbor,21,2001-05-25
32,May 18-24,,124750697,+39.5%,130421791,+26.5%,23,Shrek,20,2001-05-18
33,May 11-17,,89443261,-26.5%,103061350,-25.6%,57,The Mummy Returns,19,2001-05-11
34,May 4-10,,121644965,+89.9%,138502426,+61.1%,60,The Mummy Returns,18,2001-05-04
35,Apr 27-May 3,,64066280,-19.2%,85969632,-15.7%,59,Driven,17,2001-04-27
36,Apr 20-26,,79276808,-22.2%,101964068,-20.6%,57,Bridget Jones's Diary,16,2001-04-20
37,Apr 13-19,,101842791,-3.5%,128341796,-6.4%,56,Spy Kids,15,2001-04-13
38,Apr 6-12,,105507616,+9.3%,137131430,+14.5%,56,Spy Kids,14,2001-04-06
39,Mar 30-Apr 5,,96574098,+15.6%,119795804,+11.3%,54,Spy Kids,13,2001-03-30
40,Mar 23-29,,83530931,-5.4%,107638722,-2.2%,54,Heartbreakers,12,2001-03-23
41,Mar 16-22,,88310875,+11.6%,110067956,+9.5%,56,Exit Wounds,11,2001-03-16
42,Mar 9-15,,79164011,-11.7%,100543895,-11.4%,59,The Mexican,10,2001-03-09
43,Mar 2-8,,89629683,+3.2%,113429798,+0.4%,59,The Mexican,9,2001-03-02
44,Feb 23-Mar 1,,86878689,-37.1%,113002396,-34%,55,Hannibal,8,2001-02-23
45,Feb 16-22,,138060486,+2.5%,171281994,+3.1%,56,Hannibal,7,2001-02-16
46,Feb 9-15,,134630925,+67.8%,166199939,+34.7%,55,Hannibal,6,2001-02-09
47,Feb 2-8,,80237145,-6.3%,123422818,-1.4%,57,The Wedding Planner,5,2001-02-02
48,Jan 26-Feb 1,,85677572,-17.5%,125156615,-13.5%,57,The Wedding Planner,4,2001-01-26
49,Jan 19-25,,103790997,-32.8%,144688287,-26.2%,58,Save the Last Dance,3,2001-01-19
50,Jan 12-18,,154539140,+21%,196118833,+25.6%,58,Save the Last Dance,2,2001-01-12
51,Jan 5-11,,127770957,-33.6%,156198230,-33.1%,58,Cast Away,1,2001-01-05
